ocid,id,contracts/0/id,contracts/0/guarantees/0/id,contracts/0/guarantees/0/guaranteeType,contracts/0/guarantees/0/guarantor/id,contracts/0/guarantees/0/guarantor/name
ocds-lcuori-ZGqW9r-LPN-007-IPM-2014-2,ocds-lcuori-ZGqW9r-LPN-007-IPM-2014-2/4,ZGqW9r-ADN-007-IPM-2014,ZGqW9r-ADN-007-IPM-2014,suretyBond,GEr6JrN,Banco La Fise S.A.
ocds-lcuori-7rBxpG-LPública No.22-2014-2,ocds-lcuori-7rBxpG-LPública No.22-2014-2/3,7rBxpG-008-2015,7rBxpG-008-2015,suretyBond,GjRDVLk,Banco Continental S.A.
ocds-lcuori-7rBxpG-LPública No.12-2014-2,ocds-lcuori-7rBxpG-LPública No.12-2014-2/3,7rBxpG-012-2016,7rBxpG-012-2016,suretyBond,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-7rBxpG-LPublica No.07-2014-2,ocds-lcuori-7rBxpG-LPublica No.07-2014-2/4,7rBxpG-020-2016,7rBxpG-020-2016,suretyBond,GDRW5Lg,Seguros Atlántida S.A.
ocds-lcuori-7rBxpG-LPublica No.07-2014-2,ocds-lcuori-7rBxpG-LPublica No.07-2014-2/4,7rBxpG-055-2016,7rBxpG-055-2016,suretyBond,GDRW5Lg,Seguros Atlántida S.A.
ocds-lcuori-orvDGM-LPN-SANAA-DM-03-2014-2,ocds-lcuori-orvDGM-LPN-SANAA-DM-03-2014-2/3,orvDGM-DLC-17-2014,orvDGM-DLC-17-2014,suretyBond,GvGZwRM,Banco Financiera Comercial S.A.
ocds-lcuori-MrMPYR-LPN-CNBS-04-2014-2,ocds-lcuori-MrMPYR-LPN-CNBS-04-2014-2/3,MrMPYR-106,MrMPYR-106,suretyBond,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-MrMPYR-LPN-CNBS-04-2014-2,ocds-lcuori-MrMPYR-LPN-CNBS-04-2014-2/3,MrMPYR-107,MrMPYR-107,suretyBond,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-MrMPYR-LPN-CNBS-04-2014-2,ocds-lcuori-MrMPYR-LPN-CNBS-04-2014-2/3,MrMPYR-108,MrMPYR-108,suretyBond,G7GXMRV,Banco del País S.A.
ocds-lcuori-gRNDyL-006-03-2014-2,ocds-lcuori-gRNDyL-006-03-2014-2/3,gRNDyL-016-03-2016,gRNDyL-016-03-2016,check,GorvDGM,Banco Hondureño del Café S.A.
ocds-lcuori-7rBxpG-Lprivada No.03-2014-2,ocds-lcuori-7rBxpG-Lprivada No.03-2014-2/3,7rBxpG-002-2016,7rBxpG-002-2016,suretyBond,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-7rBxpG-LPública No.16-2014-2,ocds-lcuori-7rBxpG-LPública No.16-2014-2/3,7rBxpG-002-2015,7rBxpG-002-2015,suretyBond,GmrYzL9,Banco Financiera Centroamericana S.A.
ocds-lcuori-WRzbRe-DGC-006-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-006-CONST-2014-2/4,WRzbRe-03-DC-DGC-INSEP-2016,WRzbRe-03-DC-DGC-INSEP-2016,suretyBond,GoLj6LM,Banco Mercantil S.A.
ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2/4,WRzbRe-01-DC-DGC-INSEP-2016,WRzbRe-01-DC-DGC-INSEP-2016,suretyBond,G7GXMRV,Banco del País S.A.
ocds-lcuori-Zr5zxL-LPN-GT-001-2014-2,ocds-lcuori-Zr5zxL-LPN-GT-001-2014-2/4,Zr5zxL-s/n,Zr5zxL-s/n,suretyBond,GkG1DLQ,Seguros del País S.A.
ocds-lcuori-kG1ger-07-2014-2,ocds-lcuori-kG1ger-07-2014-2/3,kG1ger-01-2015,kG1ger-01-2015,suretyBond,G7GXMRV,Banco del País S.A.
ocds-lcuori-7rBxpG-LPública No.20-2014-2,ocds-lcuori-7rBxpG-LPública No.20-2014-2/3,7rBxpG-003-2015,7rBxpG-003-2015,suretyBond,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-7rBxpG-LPública No.20-2014-2,ocds-lcuori-7rBxpG-LPública No.20-2014-2/3,7rBxpG-006-2015,7rBxpG-006-2015,suretyBond,GXRbOrV,Banco de Occidente S.A.
ocds-lcuori-7rBxpG-LPública No.20-2014-2,ocds-lcuori-7rBxpG-LPública No.20-2014-2/3,7rBxpG-011-2015,7rBxpG-011-2015,suretyBond,GmrYzL9,Banco Financiera Centroamericana S.A.
ocds-lcuori-7rBxpG-LPública No.20-2014-2,ocds-lcuori-7rBxpG-LPública No.20-2014-2/3,7rBxpG-019-2015,7rBxpG-019-2015,suretyBond,GjRDVLk,Banco Continental S.A.
ocds-lcuori-7rBxpG-CDIRECTA No.19-2014-2,ocds-lcuori-7rBxpG-CDIRECTA No.19-2014-2/3,7rBxpG-004-2016,7rBxpG-004-2016,suretyBond,G7GXMRV,Banco del País S.A.
ocds-lcuori-7rBxpG-CDirecta No.20-2014-2,ocds-lcuori-7rBxpG-CDirecta No.20-2014-2/3,7rBxpG-013-2015,7rBxpG-013-2015,suretyBond,GEr6JrN,Banco La Fise S.A.
ocds-lcuori-kG1ger-10-2014-2,ocds-lcuori-kG1ger-10-2014-2/3,kG1ger-24-2014,kG1ger-24-2014,suretyBond,GvGZwRM,Banco Financiera Comercial S.A.
ocds-lcuori-7rBxpG-CD-16-2014-2,ocds-lcuori-7rBxpG-CD-16-2014-2/3,7rBxpG-001-2015,7rBxpG-001-2015,suretyBond,GmrYzL9,Banco Financiera Centroamericana S.A.
