ocid,id,parties/0/id,parties/0/memberOf/0/id,parties/0/memberOf/0/name
ocds-lcuori-WRz5vG-N°04-2014-2,ocds-lcuori-WRz5vG-N°04-2014-2/4,WRz5vG-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-orvOoL-Pedido No 251-2014 Medico Quirurgico-1,ocds-lcuori-orvOoL-Pedido No 251-2014 Medico Quirurgico-1/3,orvOoL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-jRDA5r-solicitud 983-1,ocds-lcuori-jRDA5r-solicitud 983-1/3,jRDA5r-MLQ77R,MLQ77R,Heroico y Benemérito Cuerpo de Bomberos de Honduras
ocds-lcuori-orvOoL-Pedido No 916-2014 Materiales-1,ocds-lcuori-orvOoL-Pedido No 916-2014 Materiales-1/3,orvOoL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-orvOoL-Pedido No 1249-2014 Materiales-1,ocds-lcuori-orvOoL-Pedido No 1249-2014 Materiales-1/3,orvOoL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-DL9kwR-CC-5419-TSC-2014-1,ocds-lcuori-DL9kwR-CC-5419-TSC-2014-1/3,DL9kwR-yRlaDr,yRlaDr,Tribunal Superior de Cuentas
ocds-lcuori-orvOoL-Pedido No 311-2014 Medicinas-1,ocds-lcuori-orvOoL-Pedido No 311-2014 Medicinas-1/3,orvOoL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-jRDA5r-solicitud 766-1,ocds-lcuori-jRDA5r-solicitud 766-1/3,jRDA5r-MLQ77R,MLQ77R,Heroico y Benemérito Cuerpo de Bomberos de Honduras
ocds-lcuori-orvOoL-Pedido No 154-2014 Medico Quirúrgico.-1,ocds-lcuori-orvOoL-Pedido No 154-2014 Medico Quirúrgico.-1/3,orvOoL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-DL9kwR-CC-5421-TSC-2014-1,ocds-lcuori-DL9kwR-CC-5421-TSC-2014-1/3,DL9kwR-yRlaDr,yRlaDr,Tribunal Superior de Cuentas
ocds-lcuori-PLeAqL-COPECO-CM-15-08-2014-1,ocds-lcuori-PLeAqL-COPECO-CM-15-08-2014-1/3,PLeAqL-wrV3LP,wrV3LP,Comisión Permanente de Contingencias
ocds-lcuori-orvOoL-Pedido No 252-2014 Medico Quirurgico-1,ocds-lcuori-orvOoL-Pedido No 252-2014 Medico Quirurgico-1/3,orvOoL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-orvOoL-Pedido No 1342-2014 Materiales-1,ocds-lcuori-orvOoL-Pedido No 1342-2014 Materiales-1/3,orvOoL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-orvovL-UNAH-SEAF-OC-0978-2014-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-0978-2014-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-PLeAqL-COPECO-CM-10-08-2014-1,ocds-lcuori-PLeAqL-COPECO-CM-10-08-2014-1/3,PLeAqL-wrV3LP,wrV3LP,Comisión Permanente de Contingencias
ocds-lcuori-PLeAqL-COPECO-CM-25-08-2014-1,ocds-lcuori-PLeAqL-COPECO-CM-25-08-2014-1/3,PLeAqL-wrV3LP,wrV3LP,Comisión Permanente de Contingencias
ocds-lcuori-wrVJ9r-026-DICTA-2014-1,ocds-lcuori-wrVJ9r-026-DICTA-2014-1/3,wrVJ9r-MLQALQ,MLQALQ,Secretaría de Agricultura y Ganadería
ocds-lcuori-wrV3LP-LPR-FHIS-30-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-30-2014-2/3,wrV3LP-orvDGM,orvDGM,Fondo Hondureño de Inversión Social
ocds-lcuori-0rwm9G-C-20140054-1,ocds-lcuori-0rwm9G-C-20140054-1/3,0rwm9G-WRzEbG,WRzEbG,Banco Nacional de Desarrollo Agrícola
ocds-lcuori-orvPvG-CM-HEAC-007-1,ocds-lcuori-orvPvG-CM-HEAC-007-1/3,orvPvG-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-2LAakL-39-2014-2,ocds-lcuori-2LAakL-39-2014-2/4,2LAakL-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-DRWQ0L-HONDUCOR DC-0489-2014-1,ocds-lcuori-DRWQ0L-HONDUCOR DC-0489-2014-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-Zr56vL-40916-1,ocds-lcuori-Zr56vL-40916-1/3,Zr56vL-jRDdVR,jRDdVR,Instituto Nacional de Formación Profesional
ocds-lcuori-orvPvG-CM-HEAC-008-1,ocds-lcuori-orvPvG-CM-HEAC-008-1/3,orvPvG-mrYzL9,mrYzL9,Secretaria de Salud Pública
