ocid,id,planning/budget/id,planning/budget/budgetBreakdown/0/id,planning/budget/budgetBreakdown/0/description,planning/budget/budgetBreakdown/0/sourceParty/id,planning/budget/budgetBreakdown/0/sourceParty/name
ocds-lcuori-WRz5vG-N°04-2014-2,ocds-lcuori-WRz5vG-N°04-2014-2/4,WRz5vG-N°04-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-wrV3LP-LPR-FHIS-30-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-30-2014-2/3,wrV3LP-LPR-FHIS-30-2014-2,1.0-FgRNyG6,Recursos Nacionales,FgRNyG6,Fondo Común 
ocds-lcuori-2LAakL-39-2014-2,ocds-lcuori-2LAakL-39-2014-2/4,2LAakL-39-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-orvDGM-LPN-SANAA-DM-12-2014-2,ocds-lcuori-orvDGM-LPN-SANAA-DM-12-2014-2/3,orvDGM-LPN-SANAA-DM-12-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2/3,wrV3LP-LPR-FHIS-16-2014-2,3.0-FoLj6LM,Prestamo,FoLj6LM,Suiza
ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2,ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2/3,wrV3LP-COT-FHIS-23-2014-2,2.0-FoLj6LM,Donación,FoLj6LM,Suiza
ocds-lcuori-orvPDG-LP-026-ONCAE-2014-2,ocds-lcuori-orvPDG-LP-026-ONCAE-2014-2/3,orvPDG-LP-026-ONCAE-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-grxXor-LIC-025-HAME-2014-2,ocds-lcuori-grxXor-LIC-025-HAME-2014-2/3,grxXor-LIC-025-HAME-2014-2,1.0-FgRNyG6,Recursos Nacionales,FgRNyG6,Fondo Común 
ocds-lcuori-JLKQxR-LP. 016-14-2,ocds-lcuori-JLKQxR-LP. 016-14-2/3,JLKQxR-LP. 016-14-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-7G3Myr-lp-025-hsp-1242-2014-2,ocds-lcuori-7G3Myr-lp-025-hsp-1242-2014-2/3,7G3Myr-lp-025-hsp-1242-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2,ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2/3,2LA2EG-SE-D-LPN-004-2014-2,2-F1RalG6,Donación,F1RalG6,Banco Mundial
ocds-lcuori-2LAakL-62-2014-2,ocds-lcuori-2LAakL-62-2014-2/3,2LAakL-62-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-vGZWNR-LP-004-2014-2,ocds-lcuori-vGZWNR-LP-004-2014-2/3,vGZWNR-LP-004-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-ERpaPr-53-2014-2,ocds-lcuori-ERpaPr-53-2014-2/3,ERpaPr-53-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-1RaMPR-CI-05-2155-2014-2,ocds-lcuori-1RaMPR-CI-05-2155-2014-2/3,1RaMPR-CI-05-2155-2014-2,3.0-FMLQALQ,Prestamo,FMLQALQ,BID
ocds-lcuori-2LAakL-42-2014-2,ocds-lcuori-2LAakL-42-2014-2/3,2LAakL-42-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-PGJALo-LPI-100-009-2014-2,ocds-lcuori-PGJALo-LPI-100-009-2014-2/3,PGJALo-LPI-100-009-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-wrVn3r-LP-34-2014-2,ocds-lcuori-wrVn3r-LP-34-2014-2/3,wrVn3r-LP-34-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-Er6dMG-PROMEF-BM-LPN-001-2014-2,ocds-lcuori-Er6dMG-PROMEF-BM-LPN-001-2014-2/4,Er6dMG-PROMEF-BM-LPN-001-2014-2,3.0-F1RalG6,Prestamo,F1RalG6,Banco Mundial
ocds-lcuori-JLKQxR-LP.018-14-2,ocds-lcuori-JLKQxR-LP.018-14-2/3,JLKQxR-LP.018-14-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-WRzw3r-C-UNICEF-001-2014-2,ocds-lcuori-WRzw3r-C-UNICEF-001-2014-2/3,WRzw3r-C-UNICEF-001-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2LA2EG-SE-D-LPN-003-2014 -2,ocds-lcuori-2LA2EG-SE-D-LPN-003-2014 -2/4,2LA2EG-SE-D-LPN-003-2014 -2,2-F1RalG6,Donación,F1RalG6,Banco Mundial
ocds-lcuori-kG17Xr-07-2014-2,ocds-lcuori-kG17Xr-07-2014-2/3,kG17Xr-07-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2LmqDL-LPrNO-03-FM-45-AMDC-2014-2,ocds-lcuori-2LmqDL-LPrNO-03-FM-45-AMDC-2014-2/3,2LmqDL-LPrNO-03-FM-45-AMDC-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2LmqDL-LPrNO-29-FM-40-AMDC-2014-2,ocds-lcuori-2LmqDL-LPrNO-29-FM-40-AMDC-2014-2/3,2LmqDL-LPrNO-29-FM-40-AMDC-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-orvPDG-LP-027-ONCAE-2014-2,ocds-lcuori-orvPDG-LP-027-ONCAE-2014-2/3,orvPDG-LP-027-ONCAE-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-grxq2L-LPN-DEI-DA-012-2014-2,ocds-lcuori-grxq2L-LPN-DEI-DA-012-2014-2/3,grxq2L-LPN-DEI-DA-012-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-lRo9xL-LP-15-2014-2,ocds-lcuori-lRo9xL-LP-15-2014-2/3,lRo9xL-LP-15-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-mGEvMR-LPRIV-09-2014-2,ocds-lcuori-mGEvMR-LPRIV-09-2014-2/3,mGEvMR-LPRIV-09-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-yRlaDr-08-2014-2,ocds-lcuori-yRlaDr-08-2014-2/3,yRlaDr-08-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-1Ra6lr-LPN-001-2014-2,ocds-lcuori-1Ra6lr-LPN-001-2014-2/3,1Ra6lr-LPN-001-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
