ocid,id,tender/id,tender/participationFees/0/id,tender/participationFees/0/value/amount,tender/participationFees/0/type
ocds-lcuori-PGJALo-LPI-100-009-2014-2,ocds-lcuori-PGJALo-LPI-100-009-2014-2/3,PGJALo-LPI-100-009-2014-2,PGJALo-LPI-100-009-2014-2,1000.0,document
ocds-lcuori-1RaEMR-Licitacion Privada  N° 0028-2014-2,ocds-lcuori-1RaEMR-Licitacion Privada  N° 0028-2014-2/3,1RaEMR-Licitacion Privada  N° 0028-2014-2,1RaEMR-Licitacion Privada  N° 0028-2014-2,150.0,document
ocds-lcuori-1RaEMR-Licitacion Privada 0025-2014-2,ocds-lcuori-1RaEMR-Licitacion Privada 0025-2014-2/3,1RaEMR-Licitacion Privada 0025-2014-2,1RaEMR-Licitacion Privada 0025-2014-2,150.0,document
ocds-lcuori-yRlxYR-01AMC2014-2,ocds-lcuori-yRlxYR-01AMC2014-2/3,yRlxYR-01AMC2014-2,yRlxYR-01AMC2014-2,5.0,document
ocds-lcuori-yRlxYR-02AMC2014-2,ocds-lcuori-yRlxYR-02AMC2014-2/3,yRlxYR-02AMC2014-2,yRlxYR-02AMC2014-2,2.0,document
ocds-lcuori-yRlxYR- 03-2014AMC-2,ocds-lcuori-yRlxYR- 03-2014AMC-2/3,yRlxYR- 03-2014AMC-2,yRlxYR- 03-2014AMC-2,1000.0,document
ocds-lcuori-1RaEMR-licitacion privada 16/2014-2,ocds-lcuori-1RaEMR-licitacion privada 16/2014-2/3,1RaEMR-licitacion privada 16/2014-2,1RaEMR-licitacion privada 16/2014-2,150.0,document
ocds-lcuori-KLg08G-LPN-01-2014-2,ocds-lcuori-KLg08G-LPN-01-2014-2/3,KLg08G-LPN-01-2014-2,KLg08G-LPN-01-2014-2,1000.0,document
ocds-lcuori-KLg08G-LPN022014-2,ocds-lcuori-KLg08G-LPN022014-2/3,KLg08G-LPN022014-2,KLg08G-LPN022014-2,1000.0,document
ocds-lcuori-8L47Pr-39540-2,ocds-lcuori-8L47Pr-39540-2/4,8L47Pr-39540-2,8L47Pr-39540-2,850.0,document
ocds-lcuori-8L47Pr-39530-2,ocds-lcuori-8L47Pr-39530-2/4,8L47Pr-39530-2,8L47Pr-39530-2,850.0,document
ocds-lcuori-8L47Pr-35270-2,ocds-lcuori-8L47Pr-35270-2/3,8L47Pr-35270-2,8L47Pr-35270-2,850.0,document
ocds-lcuori-8L47Pr-ALIMENTOS Y BEBIDAS PARA PERSONAS-2,ocds-lcuori-8L47Pr-ALIMENTOS Y BEBIDAS PARA PERSONAS-2/3,8L47Pr-ALIMENTOS Y BEBIDAS PARA PERSONAS-2,8L47Pr-ALIMENTOS Y BEBIDAS PARA PERSONAS-2,850.0,document
ocds-lcuori-8L47Pr-35620 DIESEL II TRIMESTRE 2014-2,ocds-lcuori-8L47Pr-35620 DIESEL II TRIMESTRE 2014-2/3,8L47Pr-35620 DIESEL II TRIMESTRE 2014-2,8L47Pr-35620 DIESEL II TRIMESTRE 2014-2,850.0,document
ocds-lcuori-8L47Pr-35251-2,ocds-lcuori-8L47Pr-35251-2/3,8L47Pr-35251-2,8L47Pr-35251-2,85000.0,document
ocds-lcuori-8L47Pr-39520 Instrumental y Material para Laboratorio-2,ocds-lcuori-8L47Pr-39520 Instrumental y Material para Laboratorio-2/4,8L47Pr-39520 Instrumental y Material para Laboratorio-2,8L47Pr-39520 Instrumental y Material para Laboratorio-2,850.0,document
ocds-lcuori-KLg9wR-LPN001-2014-DA-2,ocds-lcuori-KLg9wR-LPN001-2014-DA-2/3,KLg9wR-LPN001-2014-DA-2,KLg9wR-LPN001-2014-DA-2,100000.0,document
ocds-lcuori-KLg9wR-LPN002-2014-DA-2,ocds-lcuori-KLg9wR-LPN002-2014-DA-2/3,KLg9wR-LPN002-2014-DA-2,KLg9wR-LPN002-2014-DA-2,1000.0,document
ocds-lcuori-MLQW8R-02-2014-2,ocds-lcuori-MLQW8R-02-2014-2/3,MLQW8R-02-2014-2,MLQW8R-02-2014-2,5000.0,document
ocds-lcuori-8L47Pr-39100-2,ocds-lcuori-8L47Pr-39100-2/3,8L47Pr-39100-2,8L47Pr-39100-2,85000.0,document
ocds-lcuori-wrVJ9r-SAG DICTA P. PORCINO 01-2014-2,ocds-lcuori-wrVJ9r-SAG DICTA P. PORCINO 01-2014-2/3,wrVJ9r-SAG DICTA P. PORCINO 01-2014-2,wrVJ9r-SAG DICTA P. PORCINO 01-2014-2,50.0,document
ocds-lcuori-MLQW8R-07-2014-2,ocds-lcuori-MLQW8R-07-2014-2/3,MLQW8R-07-2014-2,MLQW8R-07-2014-2,50.0,document
ocds-lcuori-DL9kwR-LPN No. TSC-003-2013-DAG -2,ocds-lcuori-DL9kwR-LPN No. TSC-003-2013-DAG -2/4,DL9kwR-LPN No. TSC-003-2013-DAG -2,DL9kwR-LPN No. TSC-003-2013-DAG -2,10.0,document
ocds-lcuori-8L47Pr-35260 OXIGENO MEDICO-2,ocds-lcuori-8L47Pr-35260 OXIGENO MEDICO-2/3,8L47Pr-35260 OXIGENO MEDICO-2,8L47Pr-35260 OXIGENO MEDICO-2,85000.0,document
ocds-lcuori-MLQmwL-LPN-00001-2014-2,ocds-lcuori-MLQmwL-LPN-00001-2014-2/3,MLQmwL-LPN-00001-2014-2,MLQmwL-LPN-00001-2014-2,50000.0,document
ocds-lcuori-WRz5vG-L.Privada 02-2013 Cambio de Techo Concepción-2,ocds-lcuori-WRz5vG-L.Privada 02-2013 Cambio de Techo Concepción-2/3,WRz5vG-L.Privada 02-2013 Cambio de Techo Concepción-2,WRz5vG-L.Privada 02-2013 Cambio de Techo Concepción-2,500.0,document
ocds-lcuori-MLQmwL-LPN-00002-2014-2,ocds-lcuori-MLQmwL-LPN-00002-2014-2/3,MLQmwL-LPN-00002-2014-2,MLQmwL-LPN-00002-2014-2,500.0,document
ocds-lcuori-orvovL-LPN-07-2014-SEAF-EQUIPO-MEDICO-CUROC-2,ocds-lcuori-orvovL-LPN-07-2014-SEAF-EQUIPO-MEDICO-CUROC-2/3,orvovL-LPN-07-2014-SEAF-EQUIPO-MEDICO-CUROC-2,orvovL-LPN-07-2014-SEAF-EQUIPO-MEDICO-CUROC-2,500.0,document
ocds-lcuori-Zr56vL-01-2014-2,ocds-lcuori-Zr56vL-01-2014-2/3,Zr56vL-01-2014-2,Zr56vL-01-2014-2,500.0,document
ocds-lcuori-Er6dMG-PROMEF-FN-LPN-001-2013-2,ocds-lcuori-Er6dMG-PROMEF-FN-LPN-001-2013-2/3,Er6dMG-PROMEF-FN-LPN-001-2013-2,Er6dMG-PROMEF-FN-LPN-001-2013-2,500.0,document
ocds-lcuori-Er6dMG-PROMEF-FN-LPN-002-2013-2,ocds-lcuori-Er6dMG-PROMEF-FN-LPN-002-2013-2/3,Er6dMG-PROMEF-FN-LPN-002-2013-2,Er6dMG-PROMEF-FN-LPN-002-2013-2,500.0,document
ocds-lcuori-kG1ger-01-2014-2,ocds-lcuori-kG1ger-01-2014-2/3,kG1ger-01-2014-2,kG1ger-01-2014-2,500.0,document
ocds-lcuori-7rBxpG-LPublica No.01-2014-2,ocds-lcuori-7rBxpG-LPublica No.01-2014-2/3,7rBxpG-LPublica No.01-2014-2,7rBxpG-LPublica No.01-2014-2,1200.0,document
ocds-lcuori-JLKYJR-LPN-PRAF-001-2014-2,ocds-lcuori-JLKYJR-LPN-PRAF-001-2014-2/3,JLKYJR-LPN-PRAF-001-2014-2,JLKYJR-LPN-PRAF-001-2014-2,1.0,document
ocds-lcuori-orvovL-LPN-20-SEAF-PUPITRES-BANCOS-2,ocds-lcuori-orvovL-LPN-20-SEAF-PUPITRES-BANCOS-2/4,orvovL-LPN-20-SEAF-PUPITRES-BANCOS-2,orvovL-LPN-20-SEAF-PUPITRES-BANCOS-2,500.0,document
ocds-lcuori-orvovL-LPN-18-2013-SEAF-SERVICIO-SEGURIDAD-2,ocds-lcuori-orvovL-LPN-18-2013-SEAF-SERVICIO-SEGURIDAD-2/3,orvovL-LPN-18-2013-SEAF-SERVICIO-SEGURIDAD-2,orvovL-LPN-18-2013-SEAF-SERVICIO-SEGURIDAD-2,500.0,document
ocds-lcuori-orvovL-LPN-6-2013-SEAF-SERICIOS-IMPRENTA-2,ocds-lcuori-orvovL-LPN-6-2013-SEAF-SERICIOS-IMPRENTA-2/3,orvovL-LPN-6-2013-SEAF-SERICIOS-IMPRENTA-2,orvovL-LPN-6-2013-SEAF-SERICIOS-IMPRENTA-2,50.0,document
ocds-lcuori-orvovL-LPN-16-2013-SEAF-SERVICIOS-IMPRENTA-2,ocds-lcuori-orvovL-LPN-16-2013-SEAF-SERVICIOS-IMPRENTA-2/4,orvovL-LPN-16-2013-SEAF-SERVICIOS-IMPRENTA-2,orvovL-LPN-16-2013-SEAF-SERVICIOS-IMPRENTA-2,500.0,document
