ocid,id,awards/0/id,awards/0/value/amount,awards/0/value/currency,awards/0/description
ocds-lcuori-234365,ocds-lcuori-234365/1-contract,234365,365000.0,HNL,05 UNIDAD MONITOR DE SIGNOS VITALES DE 06 PARAMETROS
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,234366,26679.988,HNL,ADQUISICION DE ALIMENTOS Y BEBIDAS PARA LOS PACIENTES Y EMPLEADOS DEL HOSPITAL SAN LORENZO
ocds-lcuori-234367,ocds-lcuori-234367/1-contract,234367,74462.5,HNL,Una Mascarilla por persona
ocds-lcuori-234368,ocds-lcuori-234368/1-contract,234368,102000.0,HNL,MATERIAL MEDICO 
ocds-lcuori-234369,ocds-lcuori-234369/1-contract,234369,8590.5,HNL,Guantes para los empleados
ocds-lcuori-234370,ocds-lcuori-234370/1-contract,234370,,,Guantes para los empleados
ocds-lcuori-234371,ocds-lcuori-234371/1-contract,234371,8280.0,HNL,Guantes para los empleados
ocds-lcuori-234372,ocds-lcuori-234372/1-contract,234372,,,COMPRA QUE SERA PAGADA CON FONDOS NACIONALES SEGUN OBJETO DE GASTO 39510 AL PROVEEDOR AGENCIA MATAMOROS
ocds-lcuori-234373,ocds-lcuori-234373/1-contract,234373,8590.5,HNL,Guantes para Empleados
ocds-lcuori-234374,ocds-lcuori-234374/1-contract,234374,82800.0,HNL,valor reservado para la compra de material medico quirurgico menor para consumo del hospital santa barbara integrado en el primer trimestre del a?o 2020
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,234375,321798.75,HNL,COMPRA DE MATERIAL MEDICO 
ocds-lcuori-234376,ocds-lcuori-234376/1-contract,234376,339000.0,HNL,NIPRO VENOCLISES
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,234377,572700.0,HNL,NIPRO GUANTES EMERGENCIA
ocds-lcuori-234378,ocds-lcuori-234378/1-contract,234378,10200.0,HNL,Compra de Mascarillas para empleados
ocds-lcuori-234379,ocds-lcuori-234379/1-contract,234379,47662.5,HNL,valor reservado para la compra de material medico quirurgico para uso de hospital santa barbara integrado en el primer trimestre del a?o 2020
ocds-lcuori-234387,ocds-lcuori-234387/1-contract,234387,280000.0,HNL,valor reservado para la compra de material medico quirurgico para uso del hospital santa barbara integrado en el primer trimestre del a?o 2020
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,234388,38198.304000000004,HNL,COMPRA DE CATETER UMBILICAL VENDA ELASTICA 6X5 Y VENDA GASA 4X10 PARA SER ULIZADOS EN SALAS DE ESTA UNIDAD HOSPITALARIA EN ATENCION A PACIENTES
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,234389,4885.2,HNL,Compra de Insumos en CATALOGO ELECTRONICO DE EMERGENCIA segun PCM 005 2020 y PCM 025 2020 COVID 19 y Dengue para prevencion y atencion de estudiantes y personal docente y administrativo de la UNIVERSIDAD NACIONAL DE AGRICULTURA
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,775100.0,HNL,V
ocds-lcuori-234391,ocds-lcuori-234391/1-contract,234391,587650.0,HNL,HEALTHCARE BATAS
