ocid,id,awards/0/id,awards/0/value/currency,awards/0/value/amount,awards/0/description
ocds-lcuori-115792,ocds-lcuori-115792/3-contract,115792,HNL,1033620.0,CUMPLIENDO INSTRUCCIONES DE LA COMISION INTERVENTORA Y MEDIANTE MEMORANDO NO 1039 DMN 2018 FIRMADO POR LA DRA MIRIAM CHAVEZ RIVERA DIRECTORA MEDICA NACIONAL Y MEMORANDO NO 342 SGP IHSS 18 FIRMADO POR EL LIC JOSE LORENZO COTO SUBGERNTE DE PRESUPUESTO SE REALIZA LA COMPRA DE MATERIAL MEDICO QUIRUGICO SOLICITADO PARA USO A NIVEL NACIONAL 
ocds-lcuori-113850,ocds-lcuori-113850/3-contract,113850,HNL,5797.84,COMPRA DE MATERIAL DE OFICINA
ocds-lcuori-115398,ocds-lcuori-115398/3-contract,115398,HNL,6630.0,ESTOS SERAN UTILIZADOS EN LOS DIFERENTES DEPTOS DE LA DIRECCION GENERAL DE OBRAS PUBLICAS SEGUN EXPEDIENTE INSEP OP03 002 2018
ocds-lcuori-117219,ocds-lcuori-117219/3-contract,117219,HNL,559249.547,PARA SER DISTRIBUIDO EN LAS OFICINAS ADMINISTRATIVAS Y EN LOS DIFERENTES CENTROS PENALES A NIVEL NACIONAL 
ocds-lcuori-113084,ocds-lcuori-113084/3-contract,113084,HNL,72.2,para uso de Control de documentos en el area administrativa de la UFTF
ocds-lcuori-113083,ocds-lcuori-113083/3-contract,113083,HNL,809.6,PRODUCTO REQUERIDO POR BCH SUCURSAL CHOLUTECA ZONA 5 EL CUAL SERA ENTREGADO EN BCH TEGUCIGALPA ZONA 1
ocds-lcuori-113085,ocds-lcuori-113085/3-contract,113085,HNL,1440.72,compra de agua purificada para oficinas de despacho comisionado nacional
ocds-lcuori-113089,ocds-lcuori-113089/3-contract,113089,HNL,10.752500000000001,PRUEBA ONCAE
ocds-lcuori-113090,ocds-lcuori-113090/3-contract,113090,HNL,159.95350000000002,PRUEBA ONCAE
ocds-lcuori-113093,ocds-lcuori-113093/3-contract,113093,HNL,68889.6,PRODUCTO SOLICITADO POR LA GERENCIA GENERAL
ocds-lcuori-113094,ocds-lcuori-113094/3-contract,113094,HNL,12507.323,1 2018
ocds-lcuori-113092,ocds-lcuori-113092/3-contract,113092,HNL,32292.0,CONEANFO AECID
ocds-lcuori-113095,ocds-lcuori-113095/3-contract,113095,HNL,1546.75,PRODUCTO SOLICITADO POR GERENCIA ADMINISTRATIVA
ocds-lcuori-113098,ocds-lcuori-113098/3-contract,113098,HNL,124214.25,COMPRA DE PRODUCTO TERMINADO PARA SER UTILIZADO EN LA ENTREGA AL CABIE
ocds-lcuori-113097,ocds-lcuori-113097/3-contract,113097,HNL,8.950000000000001,Prueba
ocds-lcuori-113099,ocds-lcuori-113099/3-contract,113099,HNL,2238.3830000000003,DIRECCION EJECUTIVA COT 0001 
ocds-lcuori-113100,ocds-lcuori-113100/3-contract,113100,HNL,124214.25,COMPRA DE PRODUCTO TERMINADO PARA SER UTILIZADO EN LAS ENTREGAS AL CABIE
ocds-lcuori-113103,ocds-lcuori-113103/3-contract,113103,HNL,8.950000000000001,prueba
ocds-lcuori-113102,ocds-lcuori-113102/3-contract,113102,HNL,8.950000000000001,Prueba de sistema
ocds-lcuori-113104,ocds-lcuori-113104/3-contract,113104,HNL,8.950000000000001,prueba
ocds-lcuori-113107,ocds-lcuori-113107/3-contract,113107,HNL,8.950000000000001,prueba
ocds-lcuori-113106,ocds-lcuori-113106/3-contract,113106,HNL,8.950000000000001,prueba
ocds-lcuori-113108,ocds-lcuori-113108/3-contract,113108,HNL,34672.5,PARA SER UTILIZADOS EN EL AULA DE COMPUTACION DE PNFAS 
ocds-lcuori-113111,ocds-lcuori-113111/3-contract,113111,HNL,159.85,oncae ti prueba
ocds-lcuori-113110,ocds-lcuori-113110/3-contract,113110,HNL,4830.0,Papel para Tickets
ocds-lcuori-113114,ocds-lcuori-113114/3-contract,113114,HNL,8703.2,sbfdgngcnnbfcb cbbcbcbbcb cbbcbb
ocds-lcuori-113115,ocds-lcuori-113115/3-contract,113115,HNL,22765.4,2 2018
ocds-lcuori-113116,ocds-lcuori-113116/3-contract,113116,HNL,53138.25,COMPRA DE INSUMOS HOSPITALARIOS
ocds-lcuori-113113,ocds-lcuori-113113/3-contract,113113,HNL,9430.0,Solicitud de 4 llantas nuevas para vehiculo Pick Up NO9242 a nombre de EDUCREDITO y que realiza todas las gestiones del PPBH 20 20
ocds-lcuori-113134,ocds-lcuori-113134/3-contract,113134,HNL,124214.25,PARA SER UTILIZADO EN LA ENTREGA AL CABIE
ocds-lcuori-113145,ocds-lcuori-113145/3-contract,113145,HNL,2448.9480000000003,DIRECCION EJECUTIVA COT 001 ACT 1000
ocds-lcuori-113156,ocds-lcuori-113156/3-contract,113156,HNL,9499.043,DIRECCION EJECUTIVA COT 001 ACT 1000
ocds-lcuori-113167,ocds-lcuori-113167/3-contract,113167,HNL,1149.5,compra de refrescos para el consumo del DIRECTORIO del BCH TGU
ocds-lcuori-113200,ocds-lcuori-113200/3-contract,113200,HNL,1546.6925,solicitado por el Dpto de Almacen
ocds-lcuori-113222,ocds-lcuori-113222/3-contract,113222,HNL,10580.0,llantas que seran asignadas en la oficina regional de copan
ocds-lcuori-113223,ocds-lcuori-113223/3-contract,113223,,,llantas que seran asignadas en la oficina regional de copan
ocds-lcuori-113189,ocds-lcuori-113189/3-contract,113189,HNL,14019.926,solicitado por Depto de Almacen
ocds-lcuori-113245,ocds-lcuori-113245/3-contract,113245,,,llantas que seran asignadas en la oficina regional de copan
ocds-lcuori-113266,ocds-lcuori-113266/3-contract,113266,HNL,1282.25,COMPRA DE 10 BOLSAS DE AZAUCAR Y 10 BOLSAS DE CAFE 
ocds-lcuori-113277,ocds-lcuori-113277/3-contract,113277,HNL,1378.803,Solicitud de Proveeduria para la atencion de visitas empleados y personal en general del Programa
ocds-lcuori-113299,ocds-lcuori-113299/3-contract,113299,HNL,161.0,compra de 2 caja de guantes latex talla M caja de 100 unidades cada una para las urgencias dadas en el cuerpo de bomberos VA 
ocds-lcuori-113255,ocds-lcuori-113255/3-contract,113255,HNL,3647.8575,SOLICITADO POR ALMACEN
ocds-lcuori-113321,ocds-lcuori-113321/3-contract,113321,HNL,704.0,PRODUCTO REQUERIDO POR BCH SUCURSAL CHOLUTECA ZONA 1 EL CUAL SERA ENTREGADO EN BCH TEGUCIGALPA ZONA 1
ocds-lcuori-113332,ocds-lcuori-113332/3-contract,113332,HNL,21610.8,COMPRA DE LLANTAS PARA VOLQUETAS DE LOGISTICA
ocds-lcuori-113343,ocds-lcuori-113343/3-contract,113343,HNL,68972.4,compra de 12 llantas para volquetas 101 y 105
ocds-lcuori-113311,ocds-lcuori-113311/3-contract,113311,HNL,108900.93000000001,INPROVA ABARROTERIA 1er TRIMESTRE
ocds-lcuori-113376,ocds-lcuori-113376/3-contract,113376,HNL,908.5,CAMBIO DE ACEITE
ocds-lcuori-113387,ocds-lcuori-113387/3-contract,113387,HNL,199389.5575,COMPRA PARA ABASTECER LAS NECESIDADES DEL ALMACEN
ocds-lcuori-113365,ocds-lcuori-113365/3-contract,113365,HNL,48306.75,PRODUCTO PARA AVANTECER NECESIDADES DEL ALMACEN
ocds-lcuori-113398,ocds-lcuori-113398/3-contract,113398,HNL,3243.92,Compra para uso de la UGAR MACCIH tomando en cuenta las visitas que la frecuentan y las reuniones de trabajo que se realizan
ocds-lcuori-113403,ocds-lcuori-113403/3-contract,113403,HNL,1512.72,cuaderno unico grande
ocds-lcuori-113404,ocds-lcuori-113404/3-contract,113404,,,AGUA PURA 1er TRIMESTRE 2018
