ocid,id,tender/id,tender/participationFees/0/id,tender/participationFees/0/value/amount,tender/participationFees/0/type
ocds-lcuori-gRN9jG-LPN SS-FAHSL-003-2018-2,ocds-lcuori-gRN9jG-LPN SS-FAHSL-003-2018-2/3,gRN9jG-LPN SS-FAHSL-003-2018-2,gRN9jG-LPN SS-FAHSL-003-2018-2,300.0,document
ocds-lcuori-MLQ18L-LPN-HBCBH-002-2018-2,ocds-lcuori-MLQ18L-LPN-HBCBH-002-2018-2/4,MLQ18L-LPN-HBCBH-002-2018-2,MLQ18L-LPN-HBCBH-002-2018-2,500.0,document
ocds-lcuori-gRN9jG-LPN SS FAHSL 013 2018-2,ocds-lcuori-gRN9jG-LPN SS FAHSL 013 2018-2/3,gRN9jG-LPN SS FAHSL 013 2018-2,gRN9jG-LPN SS FAHSL 013 2018-2,300.0,document
ocds-lcuori-ERpO1G-LPR-004-GIP-UDAIS-2018-2,ocds-lcuori-ERpO1G-LPR-004-GIP-UDAIS-2018-2/3,ERpO1G-LPR-004-GIP-UDAIS-2018-2,ERpO1G-LPR-004-GIP-UDAIS-2018-2,200.0,document
ocds-lcuori-vGZWNR-LPN-034-2018-2,ocds-lcuori-vGZWNR-LPN-034-2018-2/6,vGZWNR-LPN-034-2018-2,vGZWNR-LPN-034-2018-2,300.0,document
ocds-lcuori-PLeAqL-LPN-01/2018-COPECO-2,ocds-lcuori-PLeAqL-LPN-01/2018-COPECO-2/3,PLeAqL-LPN-01/2018-COPECO-2,PLeAqL-LPN-01/2018-COPECO-2,1000.0,document
ocds-lcuori-gRN9jG-SS-FAHSL-002-2018-2,ocds-lcuori-gRN9jG-SS-FAHSL-002-2018-2/3,gRN9jG-SS-FAHSL-002-2018-2,gRN9jG-SS-FAHSL-002-2018-2,300.0,document
ocds-lcuori-orvkNL-LPN No.11-2018-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.11-2018-SEAF-UNAH-2/3,orvkNL-LPN No.11-2018-SEAF-UNAH-2,orvkNL-LPN No.11-2018-SEAF-UNAH-2,500.0,document
ocds-lcuori-2LmqDL-LPrNO-75-AMDC-80-2018-2,ocds-lcuori-2LmqDL-LPrNO-75-AMDC-80-2018-2/3,2LmqDL-LPrNO-75-AMDC-80-2018-2,2LmqDL-LPrNO-75-AMDC-80-2018-2,200.0,document
ocds-lcuori-8L47Pr-L-P HO 010-2018-2,ocds-lcuori-8L47Pr-L-P HO 010-2018-2/3,8L47Pr-L-P HO 010-2018-2,8L47Pr-L-P HO 010-2018-2,850.0,document
ocds-lcuori-2LmqDL-LPrNO-69-AMDC-74-2018-2,ocds-lcuori-2LmqDL-LPrNO-69-AMDC-74-2018-2/3,2LmqDL-LPrNO-69-AMDC-74-2018-2,2LmqDL-LPrNO-69-AMDC-74-2018-2,200.0,document
ocds-lcuori-0rwYG8-IAL 00087688/007-2018-2,ocds-lcuori-0rwYG8-IAL 00087688/007-2018-2/3,0rwYG8-IAL 00087688/007-2018-2,0rwYG8-IAL 00087688/007-2018-2,300000.0,document
ocds-lcuori-7rBxpG-LPública No.14-2018-2,ocds-lcuori-7rBxpG-LPública No.14-2018-2/3,7rBxpG-LPública No.14-2018-2,7rBxpG-LPública No.14-2018-2,200.0,document
ocds-lcuori-gRN9jG-SS FAHSL 004 2018-2,ocds-lcuori-gRN9jG-SS FAHSL 004 2018-2/3,gRN9jG-SS FAHSL 004 2018-2,gRN9jG-SS FAHSL 004 2018-2,300.0,document
ocds-lcuori-PGJALo-LPN-100-013-2018-2,ocds-lcuori-PGJALo-LPN-100-013-2018-2/4,PGJALo-LPN-100-013-2018-2,PGJALo-LPN-100-013-2018-2,500.0,document
ocds-lcuori-gRN9jG-SS FAHSL 007 2018-2,ocds-lcuori-gRN9jG-SS FAHSL 007 2018-2/3,gRN9jG-SS FAHSL 007 2018-2,gRN9jG-SS FAHSL 007 2018-2,300.0,document
ocds-lcuori-gRN9jG-SS FAHSL 008 2018-2,ocds-lcuori-gRN9jG-SS FAHSL 008 2018-2/3,gRN9jG-SS FAHSL 008 2018-2,gRN9jG-SS FAHSL 008 2018-2,300.0,document
ocds-lcuori-7rBxpG-LPública No.31-2018-2,ocds-lcuori-7rBxpG-LPública No.31-2018-2/5,7rBxpG-LPública No.31-2018-2,7rBxpG-LPública No.31-2018-2,200.0,document
ocds-lcuori-mGE4eL-COT-IDECOAS-FHIS-09-2019-2,ocds-lcuori-mGE4eL-COT-IDECOAS-FHIS-09-2019-2/4,mGE4eL-COT-IDECOAS-FHIS-09-2019-2,mGE4eL-COT-IDECOAS-FHIS-09-2019-2,200.0,document
ocds-lcuori-gRN9jG-LPN SS FHSL 010 2018-2,ocds-lcuori-gRN9jG-LPN SS FHSL 010 2018-2/3,gRN9jG-LPN SS FHSL 010 2018-2,gRN9jG-LPN SS FHSL 010 2018-2,300.0,document
ocds-lcuori-7rBxpG-CPúblico No.03-2018-2,ocds-lcuori-7rBxpG-CPúblico No.03-2018-2/5,7rBxpG-CPúblico No.03-2018-2,7rBxpG-CPúblico No.03-2018-2,200.0,document
ocds-lcuori-kG1ger-CONC02-2018-2,ocds-lcuori-kG1ger-CONC02-2018-2/4,kG1ger-CONC02-2018-2,kG1ger-CONC02-2018-2,500.0,document
ocds-lcuori-WRz0xL-LPN-SAR-002-2018-2,ocds-lcuori-WRz0xL-LPN-SAR-002-2018-2/3,WRz0xL-LPN-SAR-002-2018-2,WRz0xL-LPN-SAR-002-2018-2,500.0,document
ocds-lcuori-7rBxpG-LPublicaNo.01-2018-2,ocds-lcuori-7rBxpG-LPublicaNo.01-2018-2/3,7rBxpG-LPublicaNo.01-2018-2,7rBxpG-LPublicaNo.01-2018-2,200.0,document
ocds-lcuori-KLg9wR-LPN-001-2017-DA-2,ocds-lcuori-KLg9wR-LPN-001-2017-DA-2/3,KLg9wR-LPN-001-2017-DA-2,KLg9wR-LPN-001-2017-DA-2,500.0,document
ocds-lcuori-KLg9wR-LPN-002-2017-DA-2,ocds-lcuori-KLg9wR-LPN-002-2017-DA-2/3,KLg9wR-LPN-002-2017-DA-2,KLg9wR-LPN-002-2017-DA-2,500.0,document
ocds-lcuori-KLg9wR-LPN-003-2017-DA-2,ocds-lcuori-KLg9wR-LPN-003-2017-DA-2/3,KLg9wR-LPN-003-2017-DA-2,KLg9wR-LPN-003-2017-DA-2,500.0,document
ocds-lcuori-2LmqDL-LPrNO-42-AMDC-44-2018-2,ocds-lcuori-2LmqDL-LPrNO-42-AMDC-44-2018-2/3,2LmqDL-LPrNO-42-AMDC-44-2018-2,2LmqDL-LPrNO-42-AMDC-44-2018-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-43-AMDC-45-2018-2,ocds-lcuori-2LmqDL-LPrNO-43-AMDC-45-2018-2/3,2LmqDL-LPrNO-43-AMDC-45-2018-2,2LmqDL-LPrNO-43-AMDC-45-2018-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-45-AMDC-47-2018-2,ocds-lcuori-2LmqDL-LPrNO-45-AMDC-47-2018-2/3,2LmqDL-LPrNO-45-AMDC-47-2018-2,2LmqDL-LPrNO-45-AMDC-47-2018-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-46-AMDC-48-2018-2,ocds-lcuori-2LmqDL-LPrNO-46-AMDC-48-2018-2/3,2LmqDL-LPrNO-46-AMDC-48-2018-2,2LmqDL-LPrNO-46-AMDC-48-2018-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-47-AMDC-49-2018-2,ocds-lcuori-2LmqDL-LPrNO-47-AMDC-49-2018-2/3,2LmqDL-LPrNO-47-AMDC-49-2018-2,2LmqDL-LPrNO-47-AMDC-49-2018-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-48-AMDC-50-2018-2,ocds-lcuori-2LmqDL-LPrNO-48-AMDC-50-2018-2/3,2LmqDL-LPrNO-48-AMDC-50-2018-2,2LmqDL-LPrNO-48-AMDC-50-2018-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-185-AMDC-219-2017-2,ocds-lcuori-2LmqDL-LPrNO-185-AMDC-219-2017-2/3,2LmqDL-LPrNO-185-AMDC-219-2017-2,2LmqDL-LPrNO-185-AMDC-219-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-508-AMDC-572-2017-2,ocds-lcuori-2LmqDL-LPrNO-508-AMDC-572-2017-2/3,2LmqDL-LPrNO-508-AMDC-572-2017-2,2LmqDL-LPrNO-508-AMDC-572-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-509-AMDC-573-2017-2,ocds-lcuori-2LmqDL-LPrNO-509-AMDC-573-2017-2/3,2LmqDL-LPrNO-509-AMDC-573-2017-2,2LmqDL-LPrNO-509-AMDC-573-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-510-AMDC-574-2017-2,ocds-lcuori-2LmqDL-LPrNO-510-AMDC-574-2017-2/3,2LmqDL-LPrNO-510-AMDC-574-2017-2,2LmqDL-LPrNO-510-AMDC-574-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-511-AMDC-575-2017-2,ocds-lcuori-2LmqDL-LPrNO-511-AMDC-575-2017-2/3,2LmqDL-LPrNO-511-AMDC-575-2017-2,2LmqDL-LPrNO-511-AMDC-575-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-512-AMDC-576-2017-2,ocds-lcuori-2LmqDL-LPrNO-512-AMDC-576-2017-2/3,2LmqDL-LPrNO-512-AMDC-576-2017-2,2LmqDL-LPrNO-512-AMDC-576-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-498-AMDC-561-2017-2,ocds-lcuori-2LmqDL-LPrNO-498-AMDC-561-2017-2/3,2LmqDL-LPrNO-498-AMDC-561-2017-2,2LmqDL-LPrNO-498-AMDC-561-2017-2,200.0,document
ocds-lcuori-PGJALo-LPN-100-020-2017-2,ocds-lcuori-PGJALo-LPN-100-020-2017-2/3,PGJALo-LPN-100-020-2017-2,PGJALo-LPN-100-020-2017-2,500.0,document
ocds-lcuori-PGJALo-LPN-100-021-2017-2,ocds-lcuori-PGJALo-LPN-100-021-2017-2/3,PGJALo-LPN-100-021-2017-2,PGJALo-LPN-100-021-2017-2,500.0,document
ocds-lcuori-7rBxpG-LPública No.30-2017-2,ocds-lcuori-7rBxpG-LPública No.30-2017-2/3,7rBxpG-LPública No.30-2017-2,7rBxpG-LPública No.30-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-514-AMDC-578-2017-2,ocds-lcuori-2LmqDL-LPrNO-514-AMDC-578-2017-2/3,2LmqDL-LPrNO-514-AMDC-578-2017-2,2LmqDL-LPrNO-514-AMDC-578-2017-2,200.0,document
ocds-lcuori-PGJALo-LPI-100-022-2017-2,ocds-lcuori-PGJALo-LPI-100-022-2017-2/3,PGJALo-LPI-100-022-2017-2,PGJALo-LPI-100-022-2017-2,500.0,document
ocds-lcuori-7rBxpG-LPública No.43-2017-2,ocds-lcuori-7rBxpG-LPública No.43-2017-2/3,7rBxpG-LPública No.43-2017-2,7rBxpG-LPública No.43-2017-2,200.0,document
ocds-lcuori-7rBxpG-LPública No.31-2017-2,ocds-lcuori-7rBxpG-LPública No.31-2017-2/3,7rBxpG-LPública No.31-2017-2,7rBxpG-LPública No.31-2017-2,200.0,document
ocds-lcuori-7rBxpG-LPública No.44-2017-2,ocds-lcuori-7rBxpG-LPública No.44-2017-2/3,7rBxpG-LPública No.44-2017-2,7rBxpG-LPública No.44-2017-2,200.0,document
ocds-lcuori-mGEMGM-SEFIN LPN-001-2018-2,ocds-lcuori-mGEMGM-SEFIN LPN-001-2018-2/3,mGEMGM-SEFIN LPN-001-2018-2,mGEMGM-SEFIN LPN-001-2018-2,200.0,document
ocds-lcuori-PLeAqL-LPN- 02-2018-COPECO-2,ocds-lcuori-PLeAqL-LPN- 02-2018-COPECO-2/3,PLeAqL-LPN- 02-2018-COPECO-2,PLeAqL-LPN- 02-2018-COPECO-2,1000.0,document
ocds-lcuori-2LmXXr-LPN-002-I-2018-2,ocds-lcuori-2LmXXr-LPN-002-I-2018-2/3,2LmXXr-LPN-002-I-2018-2,2LmXXr-LPN-002-I-2018-2,500.0,document
