ocid,id,awards/0/id,awards/0/documents/0/id,awards/0/documents/0/url,awards/0/documents/0/documentType,awards/0/documents/0/format,awards/0/documents/0/description,awards/0/documents/0/title,awards/0/documents/0/datePublished
ocds-lcuori-vGZWNR-LP-011-2018-2,ocds-lcuori-vGZWNR-LP-011-2018-2/4,vGZWNR-LP-011-2018-2,130284,http://h1.honducompras.gob.hn/Docs/Lic117LP-011-2018804-ResoluciondelaAdjudicacion.PDF,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2019-03-12T11:34:45.097000-06:00
ocds-lcuori-jRDkQG-CM-207-2018-HNMCR-2,ocds-lcuori-jRDkQG-CM-207-2018-HNMCR-2/3,jRDkQG-CM-207-2018-HNMCR-2,115233,http://h1.honducompras.gob.hn/Docs/Lic104CM-207-2018-HNMCR803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2018-05-07T09:31:31.747000-06:00
ocds-lcuori-MrMagr-LP-009-2018-2,ocds-lcuori-MrMagr-LP-009-2018-2/3,MrMagr-LP-009-2018-2,114366,http://h1.honducompras.gob.hn/Docs/Lic84LP-009-2018803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2018-04-20T11:46:18.650000-06:00
ocds-lcuori-MrMagr-LP-021-2018-2,ocds-lcuori-MrMagr-LP-021-2018-2/3,MrMagr-LP-021-2018-2,114792,http://h1.honducompras.gob.hn/Docs/Lic84LP-021-2018802-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2018-04-26T16:00:01.820000-06:00
ocds-lcuori-Er6jdr-Expresión de Interés No.PGRD-04-2018-2,ocds-lcuori-Er6jdr-Expresión de Interés No.PGRD-04-2018-2/3,Er6jdr-Expresión de Interés No.PGRD-04-2018-2,118138,http://h1.honducompras.gob.hn/Docs/Lic719Expresi%C3%B3n%20de%20Inter%C3%A9s%20No.PGRD-04-2018803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2018-07-02T18:44:31.417000-06:00
ocds-lcuori-yRlaDr-LP. 004-2018-RSDCH-2,ocds-lcuori-yRlaDr-LP. 004-2018-RSDCH-2/3,yRlaDr-LP. 004-2018-RSDCH-2,114758,http://h1.honducompras.gob.hn/Docs/Lic76LP.%20004-2018-RSDCH802-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2018-04-26T12:33:56.167000-06:00
ocds-lcuori-MLQ18L-LPN-HBCBH-002-2018-2,ocds-lcuori-MLQ18L-LPN-HBCBH-002-2018-2/4,MLQ18L-LPN-HBCBH-002-2018-2,119909,http://h1.honducompras.gob.hn/Docs/Lic693LPN-HBCBH-002-2018803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2018-08-08T10:52:47.897000-06:00
ocds-lcuori-KLgDwG-02-LPN-IHT-2018-2,ocds-lcuori-KLgDwG-02-LPN-IHT-2018-2/3,KLgDwG-02-LPN-IHT-2018-2,127314,http://h1.honducompras.gob.hn/Docs/Lic13102-LPN-IHT-2018803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2018-12-26T13:05:03.817000-06:00
ocds-lcuori-ERpO1G-LPR-004-GIP-UDAIS-2018-2,ocds-lcuori-ERpO1G-LPR-004-GIP-UDAIS-2018-2/3,ERpO1G-LPR-004-GIP-UDAIS-2018-2,118026,http://h1.honducompras.gob.hn/Docs/Lic788LPR-004-GIP-UDAIS-2018805-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2018-06-29T16:55:28.173000-06:00
ocds-lcuori-vGZWNR-LPN-034-2018-2,ocds-lcuori-vGZWNR-LPN-034-2018-2/6,vGZWNR-LPN-034-2018-2,128800,http://h1.honducompras.gob.hn/Docs/Lic117LPN-034-2018812-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2019-02-12T15:39:16.330000-06:00
