ocid,id,parties/0/id,parties/0/memberOf/0/id,parties/0/memberOf/0/name
ocds-lcuori-7GXbbr-CM-MCH-0067-0020-1,ocds-lcuori-7GXbbr-CM-MCH-0067-0020-1/1,7GXbbr-orvovL,orvovL,Alcaldía Municipal de Choloma
ocds-lcuori-jRDVyL-BANHP_092_2020-1,ocds-lcuori-jRDVyL-BANHP_092_2020-1/1,jRDVyL-kG1ADG,kG1ADG,Banco Hondureño para la Producción y la Vivienda
ocds-lcuori-XRbOkr-CS-CSJ-2020-0201-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0201-1/1,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-XRbOkr-CS-CSJ-2020-0202-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0202-1/1,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-XRbOkr-CS-CSJ-2020-0203-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0203-1/1,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-XRbOkr-CS-CSJ-2020-0204-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0204-1/1,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-XRbOkr-CS-CSJ-2020-0205-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0205-1/1,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-XRbOkr-CS-CSJ-2020-0206-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0206-1/1,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-XRbOkr-CS-CSJ-2020-0207-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0207-1/1,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-XRbOkr-CS-CSJ-2020-0208-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0208-1/1,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-XRbOkr-CS-CSJ-2019-1434-1,ocds-lcuori-XRbOkr-CS-CSJ-2019-1434-1/1,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-XRbOkr-CS-CSJ-2020-0210-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0210-1/1,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-mGEqMG-COT-MJFB-01-2020-2,ocds-lcuori-mGEqMG-COT-MJFB-01-2020-2/1,mGEqMG-ERpYZr,ERpYZr,Alcaldía Municipal de Juan Francisco Bulnes
ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2/4,Er6jdr-wrV3LP,wrV3LP,Comisión Permanente de Contingencias
ocds-lcuori-JL7OdL-96-2020 FHLMV-1,ocds-lcuori-JL7OdL-96-2020 FHLMV-1/1,JL7OdL-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-JL7OdL-097-2020 FHLMV-1,ocds-lcuori-JL7OdL-097-2020 FHLMV-1/1,JL7OdL-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-gGyD4L-CM-165-MAT-HE-2020-1,ocds-lcuori-gGyD4L-CM-165-MAT-HE-2020-1/1,gGyD4L-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-JL7qER-1000020292-1,ocds-lcuori-JL7qER-1000020292-1/1,JL7qER-gLkyRb,gLkyRb,Ministerio Publico
ocds-lcuori-JL7qER-1000020293-1,ocds-lcuori-JL7qER-1000020293-1/1,JL7qER-gLkyRb,gLkyRb,Ministerio Publico
ocds-lcuori-gGyD4L-CM-109-MAT-HE-2020-1,ocds-lcuori-gGyD4L-CM-109-MAT-HE-2020-1/1,gGyD4L-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-JL7OdL-098-2020 fhlmv-1,ocds-lcuori-JL7OdL-098-2020 fhlmv-1/1,JL7OdL-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-gRNDyL-007-03-2020-1,ocds-lcuori-gRNDyL-007-03-2020-1/1,gRNDyL-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-orvPDG-CM-016-HGA-2020-1,ocds-lcuori-orvPDG-CM-016-HGA-2020-1/1,orvPDG-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-JL7OdL-099-2020 fhlmv-1,ocds-lcuori-JL7OdL-099-2020 fhlmv-1/1,JL7OdL-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-KLg9wR-CM-INJUPEMP-UDO-073-2020-1,ocds-lcuori-KLg9wR-CM-INJUPEMP-UDO-073-2020-1/1,KLg9wR-8L4pPL,8L4pPL,Instituto Nacional de Jubilaciones y Pensiones de los Empleados Públicos
ocds-lcuori-KLg9wR-CM-INJUPEMP-DE-074-2020-1,ocds-lcuori-KLg9wR-CM-INJUPEMP-DE-074-2020-1/1,KLg9wR-8L4pPL,8L4pPL,Instituto Nacional de Jubilaciones y Pensiones de los Empleados Públicos
ocds-lcuori-2LmqDL-LPuNBS-05-AMDC-14-2020-2,ocds-lcuori-2LmqDL-LPuNBS-05-AMDC-14-2020-2/1,2LmqDL-DL9QxL,DL9QxL,Alcaldía Municipal del Distrito Central
ocds-lcuori-2LmqDL-LPuNO-01-AMDC-16-2020-2,ocds-lcuori-2LmqDL-LPuNO-01-AMDC-16-2020-2/2,2LmqDL-DL9QxL,DL9QxL,Alcaldía Municipal del Distrito Central
ocds-lcuori-MrMPYR-058-2020-1,ocds-lcuori-MrMPYR-058-2020-1/1,MrMPYR-grxELe,grxELe,Comisión Nacional de Bancos y Seguros
ocds-lcuori-ERpWgG-COTIZACION No.SRECI-080-2020-1,ocds-lcuori-ERpWgG-COTIZACION No.SRECI-080-2020-1/1,ERpWgG-Er6JrN,Er6JrN,Secretaría de Relaciones Exteriores y Cooperación Internacional
ocds-lcuori-orvPDG-CM-017-HGA-2020-1,ocds-lcuori-orvPDG-CM-017-HGA-2020-1/1,orvPDG-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-kR0qDr-LPN-007-2019-2,ocds-lcuori-kR0qDr-LPN-007-2019-2/1,kR0qDr-yRlDRg,yRlDRg,Instituto Nacional de Previsión del Magisterio
ocds-lcuori-KLg9wR-CM-INJUPEMP-UDO-073-1-2020-1,ocds-lcuori-KLg9wR-CM-INJUPEMP-UDO-073-1-2020-1/1,KLg9wR-8L4pPL,8L4pPL,Instituto Nacional de Jubilaciones y Pensiones de los Empleados Públicos
ocds-lcuori-KLg9wR-CM-INJUPEMP-RP-075-2020-1,ocds-lcuori-KLg9wR-CM-INJUPEMP-RP-075-2020-1/1,KLg9wR-8L4pPL,8L4pPL,Instituto Nacional de Jubilaciones y Pensiones de los Empleados Públicos
ocds-lcuori-Zr56vL-Cot.000093-2020-1,ocds-lcuori-Zr56vL-Cot.000093-2020-1/1,Zr56vL-jRDdVR,jRDdVR,Instituto Nacional de Formación Profesional
ocds-lcuori-Zr56vL-Cot.000096-2020-1,ocds-lcuori-Zr56vL-Cot.000096-2020-1/1,Zr56vL-jRDdVR,jRDdVR,Instituto Nacional de Formación Profesional
