ocid,id,awards/0/id,awards/0/documents/0/id,awards/0/documents/0/url,awards/0/documents/0/documentType,awards/0/documents/0/format,awards/0/documents/0/description,awards/0/documents/0/title,awards/0/documents/0/datePublished
ocds-lcuori-grxy3L-018-2015-2,ocds-lcuori-grxy3L-018-2015-2/3,grxy3L-018-2015-2,60639,http://h1.honducompras.gob.hn/Docs/Lic609018-2015802-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2015-05-17T18:10:01.220000-06:00
ocds-lcuori-7GXmzR-LPN-001-2015 -2,ocds-lcuori-7GXmzR-LPN-001-2015 -2/4,7GXmzR-LPN-001-2015 -2,62216,http://h1.honducompras.gob.hn/Docs/Lic759LPN-001-2015%20805-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2015-06-18T17:29:03.720000-06:00
ocds-lcuori-jRDkQG-HMCR-207-2015-2,ocds-lcuori-jRDkQG-HMCR-207-2015-2/4,jRDkQG-HMCR-207-2015-2,62396,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-207-2015803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2015-06-22T08:40:04.757000-06:00
ocds-lcuori-MrMagr-LP-001-2015-2,ocds-lcuori-MrMagr-LP-001-2015-2/3,MrMagr-LP-001-2015-2,57331,http://h1.honducompras.gob.hn/Docs/Lic84LP-001-2015802-ResoluciondelaAdjudicacion.PDF,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2015-02-25T15:01:38.490000-06:00
ocds-lcuori-4LOxWG-LP27-2015-2,ocds-lcuori-4LOxWG-LP27-2015-2/4,4LOxWG-LP27-2015-2,57486,http://h1.honducompras.gob.hn/Docs/Lic83LP27-2015802-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2015-02-27T08:53:18.913000-06:00
ocds-lcuori-4LOxWG-LP28-2015-2,ocds-lcuori-4LOxWG-LP28-2015-2/4,4LOxWG-LP28-2015-2,57599,http://h1.honducompras.gob.hn/Docs/Lic83LP28-2015802-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2015-03-03T09:05:57.217000-06:00
ocds-lcuori-4LOxWG-LP29-2015-2,ocds-lcuori-4LOxWG-LP29-2015-2/4,4LOxWG-LP29-2015-2,57467,http://h1.honducompras.gob.hn/Docs/Lic83LP29-2015802-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2015-02-26T14:07:47.370000-06:00
ocds-lcuori-4LOxWG-LP31-2015-2,ocds-lcuori-4LOxWG-LP31-2015-2/4,4LOxWG-LP31-2015-2,57504,http://h1.honducompras.gob.hn/Docs/Lic83LP31-2015802-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2015-02-27T11:01:58.457000-06:00
ocds-lcuori-4LOxWG-LP42-2015-2,ocds-lcuori-4LOxWG-LP42-2015-2/3,4LOxWG-LP42-2015-2,58536,http://h1.honducompras.gob.hn/Docs/Lic83LP42-2015802-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2015-03-20T12:07:52.573000-06:00
ocds-lcuori-4LOxWG-LP43-2015-2,ocds-lcuori-4LOxWG-LP43-2015-2/3,4LOxWG-LP43-2015-2,58710,http://h1.honducompras.gob.hn/Docs/Lic83LP43-2015802-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2015-03-25T14:33:19.770000-06:00
