ocid,id,planning/budget/id,planning/budget/budgetBreakdown/0/id,planning/budget/budgetBreakdown/0/description,planning/budget/budgetBreakdown/0/sourceParty/id,planning/budget/budgetBreakdown/0/sourceParty/name
ocds-lcuori-2LmqDL-LPuNO-03-AMDC-03-2015-2,ocds-lcuori-2LmqDL-LPuNO-03-AMDC-03-2015-2/3,2LmqDL-LPuNO-03-AMDC-03-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-ZGqW9r-LPN-001-IPM-2015-2,ocds-lcuori-ZGqW9r-LPN-001-IPM-2015-2/3,ZGqW9r-LPN-001-IPM-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2LmqDL-LPrNO-01-AMDC-01-2015-2-2,ocds-lcuori-2LmqDL-LPrNO-01-AMDC-01-2015-2-2/4,2LmqDL-LPrNO-01-AMDC-01-2015-2-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-ZGqW9r-LPP-002-IPM-2015-2,ocds-lcuori-ZGqW9r-LPP-002-IPM-2015-2/3,ZGqW9r-LPP-002-IPM-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-1RaMPR-01-INVEST-H-EITI-2015-2,ocds-lcuori-1RaMPR-01-INVEST-H-EITI-2015-2/3,1RaMPR-01-INVEST-H-EITI-2015-2,2.0-F1RalG6,Donación,F1RalG6,Banco Mundial
ocds-lcuori-DRWQ0L-HONDUCOR-LPN-0002-2015-2,ocds-lcuori-DRWQ0L-HONDUCOR-LPN-0002-2015-2/3,DRWQ0L-HONDUCOR-LPN-0002-2015-2,2.0-FgRNyG6,Donación,FgRNyG6,Fondo Común 
ocds-lcuori-wrV3LP-LPR-FHIS-26-2014 3er-2,ocds-lcuori-wrV3LP-LPR-FHIS-26-2014 3er-2/3,wrV3LP-LPR-FHIS-26-2014 3er-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-0rwm9G-LP 001-2015-2,ocds-lcuori-0rwm9G-LP 001-2015-2/3,0rwm9G-LP 001-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-wrVn3r-LP-01-HSI-2015-2,ocds-lcuori-wrVn3r-LP-01-HSI-2015-2/3,wrVn3r-LP-01-HSI-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-037-2015-2,ocds-lcuori-jRDkQG-HMCR-037-2015-2/4,jRDkQG-HMCR-037-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-038-2015-2,ocds-lcuori-jRDkQG-HMCR-038-2015-2/4,jRDkQG-HMCR-038-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-039-2015-2,ocds-lcuori-jRDkQG-HMCR-039-2015-2/3,jRDkQG-HMCR-039-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-Nrd4Yr-GSGD-001-2015-1,ocds-lcuori-Nrd4Yr-GSGD-001-2015-1/3,Nrd4Yr-GSGD-001-2015-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-lRo9xL-LP-3-2015-2,ocds-lcuori-lRo9xL-LP-3-2015-2/3,lRo9xL-LP-3-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-lRo9xL-LP-8-2015-2,ocds-lcuori-lRo9xL-LP-8-2015-2/3,lRo9xL-LP-8-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-049-2015-2,ocds-lcuori-jRDkQG-HMCR-049-2015-2/4,jRDkQG-HMCR-049-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-050-2015-2,ocds-lcuori-jRDkQG-HMCR-050-2015-2/4,jRDkQG-HMCR-050-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-051-2015-2,ocds-lcuori-jRDkQG-HMCR-051-2015-2/4,jRDkQG-HMCR-051-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-052-2015-2,ocds-lcuori-jRDkQG-HMCR-052-2015-2/4,jRDkQG-HMCR-052-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-057-2015-2,ocds-lcuori-jRDkQG-HMCR-057-2015-2/4,jRDkQG-HMCR-057-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-060-2015-2,ocds-lcuori-jRDkQG-HMCR-060-2015-2/3,jRDkQG-HMCR-060-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-064-2015-2,ocds-lcuori-jRDkQG-HMCR-064-2015-2/4,jRDkQG-HMCR-064-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-068-2015-2,ocds-lcuori-jRDkQG-HMCR-068-2015-2/4,jRDkQG-HMCR-068-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2LAdQr-CPN-FV-RVP-01-2015-2,ocds-lcuori-2LAdQr-CPN-FV-RVP-01-2015-2/4,2LAdQr-CPN-FV-RVP-01-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-076-2015-2,ocds-lcuori-jRDkQG-HMCR-076-2015-2/3,jRDkQG-HMCR-076-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-078-2015-2,ocds-lcuori-jRDkQG-HMCR-078-2015-2/4,jRDkQG-HMCR-078-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-MrMbdL-LPN- GUISAYOTE-03-2015-2,ocds-lcuori-MrMbdL-LPN- GUISAYOTE-03-2015-2/3,MrMbdL-LPN- GUISAYOTE-03-2015-2,3.0-F1RalG6,Prestamo,F1RalG6,Banco Mundial
ocds-lcuori-lRo9xL-LP-13-2015-2,ocds-lcuori-lRo9xL-LP-13-2015-2/3,lRo9xL-LP-13-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-grxXEr-LP. 014-15-2,ocds-lcuori-grxXEr-LP. 014-15-2/3,grxXEr-LP. 014-15-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-WRzdbL-LP-002-2015-HT-2,ocds-lcuori-WRzdbL-LP-002-2015-HT-2/3,WRzdbL-LP-002-2015-HT-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-MLQmwL-CP-010-2015-2,ocds-lcuori-MLQmwL-CP-010-2015-2/3,MLQmwL-CP-010-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-gGy6qR-LPN-CHORTI-01-2015-2,ocds-lcuori-gGy6qR-LPN-CHORTI-01-2015-2/3,gGy6qR-LPN-CHORTI-01-2015-2,3.0-F1RalG6,Prestamo,F1RalG6,Banco Mundial
ocds-lcuori-wrVn3r-LP-24-HSI-2015-2,ocds-lcuori-wrVn3r-LP-24-HSI-2015-2/3,wrVn3r-LP-24-HSI-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-lRo9xL-LP-11-2015-2,ocds-lcuori-lRo9xL-LP-11-2015-2/4,lRo9xL-LP-11-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-ERpngL-LP-001-2015-2,ocds-lcuori-ERpngL-LP-001-2015-2/3,ERpngL-LP-001-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-kR2qqG-HLMV005-15-2,ocds-lcuori-kR2qqG-HLMV005-15-2/3,kR2qqG-HLMV005-15-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOQbR-LPN-ARVN-MIAMBIENTE-001-2015-2,ocds-lcuori-4LOQbR-LPN-ARVN-MIAMBIENTE-001-2015-2/3,4LOQbR-LPN-ARVN-MIAMBIENTE-001-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-kR2qqG-HLMV 022-2015-2,ocds-lcuori-kR2qqG-HLMV 022-2015-2/3,kR2qqG-HLMV 022-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-kR2qqG-HLMV10-2015-2,ocds-lcuori-kR2qqG-HLMV10-2015-2/3,kR2qqG-HLMV10-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-8L42ZR-04-2015-2,ocds-lcuori-8L42ZR-04-2015-2/3,8L42ZR-04-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-ERpaPr-08-2015-2,ocds-lcuori-ERpaPr-08-2015-2/3,ERpaPr-08-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-8L47Pr-L-P 002-2015-2,ocds-lcuori-8L47Pr-L-P 002-2015-2/4,8L47Pr-L-P 002-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-8L47Pr-L-P 006-2015-2,ocds-lcuori-8L47Pr-L-P 006-2015-2/3,8L47Pr-L-P 006-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-8L47Pr-L-P 009-2015-2,ocds-lcuori-8L47Pr-L-P 009-2015-2/4,8L47Pr-L-P 009-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-ERpaPr-16-2015-2,ocds-lcuori-ERpaPr-16-2015-2/3,ERpaPr-16-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-MrMagr-LP-024-2015-2,ocds-lcuori-MrMagr-LP-024-2015-2/3,MrMagr-LP-024-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-ZGqW9r-LPP-001-IPM-2015-2,ocds-lcuori-ZGqW9r-LPP-001-IPM-2015-2/3,ZGqW9r-LPP-001-IPM-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-grxXor-LP-010-HAME-2015-2,ocds-lcuori-grxXor-LP-010-HAME-2015-2/3,grxXor-LP-010-HAME-2015-2,1.0-FgRNyG6,Recursos Nacionales,FgRNyG6,Fondo Común 
ocds-lcuori-grxXor-LP-011-HAME-2015-2,ocds-lcuori-grxXor-LP-011-HAME-2015-2/3,grxXor-LP-011-HAME-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-grxXor-LP-005-HAME-2015-2,ocds-lcuori-grxXor-LP-005-HAME-2015-2/3,grxXor-LP-005-HAME-2015-2,1.0-FgRNyG6,Recursos Nacionales,FgRNyG6,Fondo Común 
ocds-lcuori-NLP4qL-LPN-03-2015-2,ocds-lcuori-NLP4qL-LPN-03-2015-2/4,NLP4qL-LPN-03-2015-2,3-F1RalG6,Prestamo,F1RalG6,Banco Mundial
ocds-lcuori-WRzbRe-DGC-001-CONST-2015-2,ocds-lcuori-WRzbRe-DGC-001-CONST-2015-2/3,WRzbRe-DGC-001-CONST-2015-2,1.0-FgLkyRb,Recursos Nacionales,FgLkyRb,Hispano-Hondureño
ocds-lcuori-7rBxpG-CDirecta No.02-2015-2,ocds-lcuori-7rBxpG-CDirecta No.02-2015-2/3,7rBxpG-CDirecta No.02-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2LAakL-03-2015-2,ocds-lcuori-2LAakL-03-2015-2/3,2LAakL-03-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2LmqDL-COT-02-AMDC-12-2015-2,ocds-lcuori-2LmqDL-COT-02-AMDC-12-2015-2/3,2LmqDL-COT-02-AMDC-12-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-grxXor-LP-013-HAME-2015-2,ocds-lcuori-grxXor-LP-013-HAME-2015-2/3,grxXor-LP-013-HAME-2015-2,1.0-FgRNyG6,Recursos Nacionales,FgRNyG6,Fondo Común 
ocds-lcuori-PGJpAr-0001-2015-2,ocds-lcuori-PGJpAr-0001-2015-2/3,PGJpAr-0001-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-MLQmwL-LPN-001-2015-2,ocds-lcuori-MLQmwL-LPN-001-2015-2/3,MLQmwL-LPN-001-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-MLQmwL-LPN-002-2015-2,ocds-lcuori-MLQmwL-LPN-002-2015-2/3,MLQmwL-LPN-002-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-1RaEMR-licitacion 002-2015-2,ocds-lcuori-1RaEMR-licitacion 002-2015-2/3,1RaEMR-licitacion 002-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-1RaEMR-Licitacion 003-2015-2,ocds-lcuori-1RaEMR-Licitacion 003-2015-2/3,1RaEMR-Licitacion 003-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2Lm6KG-LPN-AMBG-01-2015-2,ocds-lcuori-2Lm6KG-LPN-AMBG-01-2015-2/3,2Lm6KG-LPN-AMBG-01-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-JLKQxR-LP.003-15-2,ocds-lcuori-JLKQxR-LP.003-15-2/3,JLKQxR-LP.003-15-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-WRz5vG-N° 08-2014-2,ocds-lcuori-WRz5vG-N° 08-2014-2/4,WRz5vG-N° 08-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-103-2015-2,ocds-lcuori-4LOxWG-103-2015-2/3,4LOxWG-103-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-1RaEMR-Licitacion 006-2015-2,ocds-lcuori-1RaEMR-Licitacion 006-2015-2/3,1RaEMR-Licitacion 006-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-wrV3LP-CPN-IDECOAS-FHIS-003-2015-2,ocds-lcuori-wrV3LP-CPN-IDECOAS-FHIS-003-2015-2/3,wrV3LP-CPN-IDECOAS-FHIS-003-2015-2,2.0-FZr59rk,Donación,FZr59rk,USAID
ocds-lcuori-wrV3LP-CPN-IDECOAS-FHIS-004-2015-2,ocds-lcuori-wrV3LP-CPN-IDECOAS-FHIS-004-2015-2/3,wrV3LP-CPN-IDECOAS-FHIS-004-2015-2,2.0-FZr59rk,Donación,FZr59rk,USAID
ocds-lcuori-wrV3LP-CPN-IDECOAS-FHIS-005-2015-2,ocds-lcuori-wrV3LP-CPN-IDECOAS-FHIS-005-2015-2/3,wrV3LP-CPN-IDECOAS-FHIS-005-2015-2,2.0-FZr59rk,Donación,FZr59rk,USAID
ocds-lcuori-7rBxpG-LPublica No.10-2015-2,ocds-lcuori-7rBxpG-LPublica No.10-2015-2/3,7rBxpG-LPublica No.10-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2LmqDL-CPrNO-DISEÑO-01-AMDC-03-2015-2,ocds-lcuori-2LmqDL-CPrNO-DISEÑO-01-AMDC-03-2015-2/4,2LmqDL-CPrNO-DISEÑO-01-AMDC-03-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-107-2015-2,ocds-lcuori-jRDkQG-HMCR-107-2015-2/3,jRDkQG-HMCR-107-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-114-2015-2,ocds-lcuori-jRDkQG-HMCR-114-2015-2/3,jRDkQG-HMCR-114-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-115-2015-2,ocds-lcuori-jRDkQG-HMCR-115-2015-2/3,jRDkQG-HMCR-115-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-116-2015-2,ocds-lcuori-jRDkQG-HMCR-116-2015-2/3,jRDkQG-HMCR-116-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-117-2015-2,ocds-lcuori-jRDkQG-HMCR-117-2015-2/3,jRDkQG-HMCR-117-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-119-2015-2,ocds-lcuori-jRDkQG-HMCR-119-2015-2/3,jRDkQG-HMCR-119-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-JLKB1r-CD-ERSPAS-03-2015-2,ocds-lcuori-JLKB1r-CD-ERSPAS-03-2015-2/3,JLKB1r-CD-ERSPAS-03-2015-2,2.0-FoLj6LM,Donación,FoLj6LM,Suiza
ocds-lcuori-4LOk7L-PACPV-005-2015-2,ocds-lcuori-4LOk7L-PACPV-005-2015-2/3,4LOk7L-PACPV-005-2015-2,3.0-FMLQALQ,Prestamo,FMLQALQ,BID
ocds-lcuori-2LA2EG-SE-D-SBMC-001-2015 -2,ocds-lcuori-2LA2EG-SE-D-SBMC-001-2015 -2/4,2LA2EG-SE-D-SBMC-001-2015 -2,2.0-F1RalG6,Donación,F1RalG6,Banco Mundial
