ocid,id,awards/0/id
ocds-lcuori-vGZWNR-30006440-1,ocds-lcuori-vGZWNR-30006440-1/3,vGZWNR-30006440-1
ocds-lcuori-vGZWNR-30006441-1,ocds-lcuori-vGZWNR-30006441-1/3,vGZWNR-30006441-1
ocds-lcuori-vGZWNR-40000933-1,ocds-lcuori-vGZWNR-40000933-1/3,vGZWNR-40000933-1
ocds-lcuori-1RaElR-0021-2015-hsbi-1,ocds-lcuori-1RaElR-0021-2015-hsbi-1/3,1RaElR-0021-2015-hsbi-1
ocds-lcuori-MLQmwL-CM-098-2015-1,ocds-lcuori-MLQmwL-CM-098-2015-1/3,MLQmwL-CM-098-2015-1
ocds-lcuori-mGEMGM-DCS-028-2015-UR-1,ocds-lcuori-mGEMGM-DCS-028-2015-UR-1/3,mGEMGM-DCS-028-2015-UR-1
ocds-lcuori-grxy3L-018-2015-2,ocds-lcuori-grxy3L-018-2015-2/3,grxy3L-018-2015-2
ocds-lcuori-grxq2L-CM-177-2015-1,ocds-lcuori-grxq2L-CM-177-2015-1/3,grxq2L-CM-177-2015-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00369-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00369-2015-1/3,DRWQ0L-HONDUCOR-DC-00369-2015-1
ocds-lcuori-grxq2L-CM-186-2015-1,ocds-lcuori-grxq2L-CM-186-2015-1/3,grxq2L-CM-186-2015-1
ocds-lcuori-8L4YaG-CC-283-2015-INA-1,ocds-lcuori-8L4YaG-CC-283-2015-INA-1/3,8L4YaG-CC-283-2015-INA-1
ocds-lcuori-DL9kwR-CC-5655-TSC-2015-1,ocds-lcuori-DL9kwR-CC-5655-TSC-2015-1/3,DL9kwR-CC-5655-TSC-2015-1
ocds-lcuori-Zr56vL-M-00058-1,ocds-lcuori-Zr56vL-M-00058-1/4,Zr56vL-M-00058-1
ocds-lcuori-orvPvG-CM-HEAC-58-2015-1,ocds-lcuori-orvPvG-CM-HEAC-58-2015-1/3,orvPvG-CM-HEAC-58-2015-1
ocds-lcuori-jRDA5r-Solicitud 379 A-1,ocds-lcuori-jRDA5r-Solicitud 379 A-1/3,jRDA5r-Solicitud 379 A-1
ocds-lcuori-0rwm9G-C-20150069-1,ocds-lcuori-0rwm9G-C-20150069-1/3,0rwm9G-C-20150069-1
ocds-lcuori-jRDA5r-Sol icitud 569 A-1,ocds-lcuori-jRDA5r-Sol icitud 569 A-1/3,jRDA5r-Sol icitud 569 A-1
ocds-lcuori-MrMPYR-077-2015-1,ocds-lcuori-MrMPYR-077-2015-1/3,MrMPYR-077-2015-1
ocds-lcuori-DL9kwR-CC-5660-TSC-2015-1,ocds-lcuori-DL9kwR-CC-5660-TSC-2015-1/3,DL9kwR-CC-5660-TSC-2015-1
ocds-lcuori-orvovL-UNAH-SEAF-OC-1829-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1829-2015-1/3,orvovL-UNAH-SEAF-OC-1829-2015-1
ocds-lcuori-DL9kwR-CC-5661-TSC-2015-1,ocds-lcuori-DL9kwR-CC-5661-TSC-2015-1/4,DL9kwR-CC-5661-TSC-2015-1
ocds-lcuori-orvovL-UNAH-SEAF-OC-1831-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1831-2015-1/3,orvovL-UNAH-SEAF-OC-1831-2015-1
ocds-lcuori-kG17Xr-021-11-2015-1,ocds-lcuori-kG17Xr-021-11-2015-1/3,kG17Xr-021-11-2015-1
ocds-lcuori-orvovL-UNAH-SEAF-OC-1835-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1835-2015-1/3,orvovL-UNAH-SEAF-OC-1835-2015-1
ocds-lcuori-grxy3L-035-2015-1,ocds-lcuori-grxy3L-035-2015-1/3,grxy3L-035-2015-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00577-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00577-2015-1/3,DRWQ0L-HONDUCOR-DC-00577-2015-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00377-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00377-2015-1/3,DRWQ0L-HONDUCOR-DC-00377-2015-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00380-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00380-2015-1/3,DRWQ0L-HONDUCOR-DC-00380-2015-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00381-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00381-2015-1/3,DRWQ0L-HONDUCOR-DC-00381-2015-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00382-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00382-2015-1/3,DRWQ0L-HONDUCOR-DC-00382-2015-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00384-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00384-2015-1/3,DRWQ0L-HONDUCOR-DC-00384-2015-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00388-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00388-2015-1/3,DRWQ0L-HONDUCOR-DC-00388-2015-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00389-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00389-2015-1/3,DRWQ0L-HONDUCOR-DC-00389-2015-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00390-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00390-2015-1/3,DRWQ0L-HONDUCOR-DC-00390-2015-1
ocds-lcuori-XRbOkr-CS-CSJ-2015-0745-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0745-1/3,XRbOkr-CS-CSJ-2015-0745-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00391-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00391-2015-1/3,DRWQ0L-HONDUCOR-DC-00391-2015-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00395-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00395-2015-1/3,DRWQ0L-HONDUCOR-DC-00395-2015-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00396-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00396-2015-1/3,DRWQ0L-HONDUCOR-DC-00396-2015-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-003976-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-003976-2015-1/3,DRWQ0L-HONDUCOR-DC-003976-2015-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00398-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00398-2015-1/3,DRWQ0L-HONDUCOR-DC-00398-2015-1
ocds-lcuori-MrMPYR-129-2015-1,ocds-lcuori-MrMPYR-129-2015-1/3,MrMPYR-129-2015-1
ocds-lcuori-4LOwbL-cc-71-2015-1,ocds-lcuori-4LOwbL-cc-71-2015-1/3,4LOwbL-cc-71-2015-1
ocds-lcuori-4LOwbL-cc-4-2015-1,ocds-lcuori-4LOwbL-cc-4-2015-1/3,4LOwbL-cc-4-2015-1
ocds-lcuori-orvPDG-CM-074-ONCAE-2015-1,ocds-lcuori-orvPDG-CM-074-ONCAE-2015-1/3,orvPDG-CM-074-ONCAE-2015-1
ocds-lcuori-7GXmzR-LPN-001-2015 -2,ocds-lcuori-7GXmzR-LPN-001-2015 -2/4,7GXmzR-LPN-001-2015 -2
ocds-lcuori-PR8dYR-100-2015-1,ocds-lcuori-PR8dYR-100-2015-1/3,PR8dYR-100-2015-1
ocds-lcuori-jRDkQG-HMCR-207-2015-2,ocds-lcuori-jRDkQG-HMCR-207-2015-2/4,jRDkQG-HMCR-207-2015-2
ocds-lcuori-PLemLJ-CC-0262-2014-DGMM-1,ocds-lcuori-PLemLJ-CC-0262-2014-DGMM-1/3,PLemLJ-CC-0262-2014-DGMM-1
ocds-lcuori-wrVn3r-CC-62-HSI-2015-1,ocds-lcuori-wrVn3r-CC-62-HSI-2015-1/3,wrVn3r-CC-62-HSI-2015-1
ocds-lcuori-PLemLJ-CC-0268-2014-DGMM-1,ocds-lcuori-PLemLJ-CC-0268-2014-DGMM-1/3,PLemLJ-CC-0268-2014-DGMM-1
ocds-lcuori-MLQmwL-CM-001-2015-1,ocds-lcuori-MLQmwL-CM-001-2015-1/3,MLQmwL-CM-001-2015-1
ocds-lcuori-Er65BR-IAIP-CE-09-2015-1,ocds-lcuori-Er65BR-IAIP-CE-09-2015-1/3,Er65BR-IAIP-CE-09-2015-1
ocds-lcuori-MrMagr-LP-001-2015-2,ocds-lcuori-MrMagr-LP-001-2015-2/3,MrMagr-LP-001-2015-2
ocds-lcuori-4LOxWG-LP27-2015-2,ocds-lcuori-4LOxWG-LP27-2015-2/4,4LOxWG-LP27-2015-2
ocds-lcuori-XRbOkr-CS-CSJ-2015-0484-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0484-1/3,XRbOkr-CS-CSJ-2015-0484-1
ocds-lcuori-4LOxWG-LP28-2015-2,ocds-lcuori-4LOxWG-LP28-2015-2/4,4LOxWG-LP28-2015-2
ocds-lcuori-4LOxWG-LP29-2015-2,ocds-lcuori-4LOxWG-LP29-2015-2/4,4LOxWG-LP29-2015-2
ocds-lcuori-4LOxWG-LP31-2015-2,ocds-lcuori-4LOxWG-LP31-2015-2/4,4LOxWG-LP31-2015-2
ocds-lcuori-4LOxWG-LP42-2015-2,ocds-lcuori-4LOxWG-LP42-2015-2/3,4LOxWG-LP42-2015-2
ocds-lcuori-XRbOkr-CS-CSJ-2015-0485-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0485-1/3,XRbOkr-CS-CSJ-2015-0485-1
ocds-lcuori-4LOxWG-LP43-2015-2,ocds-lcuori-4LOxWG-LP43-2015-2/3,4LOxWG-LP43-2015-2
ocds-lcuori-XRbOkr-CS-CSJ-2015-0486-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0486-1/3,XRbOkr-CS-CSJ-2015-0486-1
ocds-lcuori-XRbOkr-CS-CSJ-2015-0487-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0487-1/3,XRbOkr-CS-CSJ-2015-0487-1
ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2,ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2/3,mGE36r-LPN-GUAL-01-2015-2
ocds-lcuori-XRbOkr-CS-CSJ-2015-0488-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0488-1/3,XRbOkr-CS-CSJ-2015-0488-1
ocds-lcuori-0rwm9G-C-2015001-1,ocds-lcuori-0rwm9G-C-2015001-1/3,0rwm9G-C-2015001-1
ocds-lcuori-2LAzdG-ADQ-067-2015-1,ocds-lcuori-2LAzdG-ADQ-067-2015-1/3,2LAzdG-ADQ-067-2015-1
ocds-lcuori-7rBxpG-CDirecta No.23-2014-2,ocds-lcuori-7rBxpG-CDirecta No.23-2014-2/3,7rBxpG-CDirecta No.23-2014-2
ocds-lcuori-MLQmwL-CM-106-2015-1,ocds-lcuori-MLQmwL-CM-106-2015-1/3,MLQmwL-CM-106-2015-1
ocds-lcuori-jRDA5r-solicitud 102 A-1,ocds-lcuori-jRDA5r-solicitud 102 A-1/3,jRDA5r-solicitud 102 A-1
ocds-lcuori-7GX7XL-SS-FM-010-2014-2,ocds-lcuori-7GX7XL-SS-FM-010-2014-2/3,7GX7XL-SS-FM-010-2014-2
ocds-lcuori-XRbOkr-CS_CSJ-2015-0413-1,ocds-lcuori-XRbOkr-CS_CSJ-2015-0413-1/3,XRbOkr-CS_CSJ-2015-0413-1
ocds-lcuori-XRbOkr-CS-CSJ-2015-0180.-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0180.-1/3,XRbOkr-CS-CSJ-2015-0180.-1
ocds-lcuori-JLKbbr-027-2015-1,ocds-lcuori-JLKbbr-027-2015-1/3,JLKbbr-027-2015-1
