ocid,id,contracts/0/id,contracts/0/items/0/id,contracts/0/items/0/unit/name,contracts/0/items/0/unit/value/amount,contracts/0/items/0/unit/value/currency,contracts/0/items/0/description,contracts/0/items/0/quantity,contracts/0/items/0/classification/id,contracts/0/items/0/classification/scheme,contracts/0/items/0/classification/description
ocds-lcuori-6252,ocds-lcuori-6252/3-contract,6252,17159,Paquete,18.216,HNL,"BATERIAS ALCALINAS AA,PAQUETE DE 2 UNIDADES, ALTA CALIDAD (ZONA 1)
",60.0,26111705,UNSPSC,Pilas secas o baterias comunes AA o AAA
ocds-lcuori-6252,ocds-lcuori-6252/3-contract,6252,17160,Unidad,13.8345,HNL,"CERA PARA CONTAR DE 1.5 ONZAS, ALTA CALIDAD (ZONA 1)
",20.0,44121622,UNSPSC,Humedecedores de dedos
ocds-lcuori-6252,ocds-lcuori-6252/3-contract,6252,17161,Unidad,12.903,HNL,"TIJERA DE ACERO INOXIDABLE DE 8"" DE LARGO, ALTA CALIDAD (ZONA 1)
",20.0,44121618,UNSPSC,Tijeras
ocds-lcuori-6972,ocds-lcuori-6972/3-contract,6972,18883,Paquete,67.85,HNL,"PAPEL CARBON TAMA?O OFICIO PARA MAQUINA DE ESCRIBIR, PAQUETE DE 100 HOJAS, ALTA CALIDAD (ZONA 1)",75.0,14121810,UNSPSC,Papeles carb?n
ocds-lcuori-6972,ocds-lcuori-6972/3-contract,6972,18884,Unidad,8.28,HNL,"MASKING TAPE DE 3/4"" X HASTA 40 YARDAS DE LARGO, FABRICACION NACIONAL (ZONA 1)",1500.0,31201503,UNSPSC,Cintas adhesivas de protecci?n o masking tape
ocds-lcuori-6972,ocds-lcuori-6972/3-contract,6972,18885,Paquete,100.625,HNL,"CARTULINA OPALINA TAMA?O CARTA, PAQUETE DE 50 HOJAS, ALTA CALIDAD (ZONA 1)",300.0,14111610,UNSPSC,Cartulina
ocds-lcuori-6972,ocds-lcuori-6972/3-contract,6972,18886,Unidad,82.8,HNL,"CUADERNO UNICO GRANDE PLASTIFICADO DE 400 PAGINAS, CALIDAD INTERMEDIA (ZONA 1)",1000.0,14111531,UNSPSC,Libros o cuadernos de registro
ocds-lcuori-6972,ocds-lcuori-6972/3-contract,6972,18878,Unidad,8.165,HNL,"CINTA DUCK TAPE CAFE DE 2"" X HASTA 40 YARDAS DE LARGO PARA SELLAR, ALTA CALIDAD, (ZONA 1)",800.0,31201503,UNSPSC,Cintas adhesivas de protecci?n o masking tape
ocds-lcuori-6972,ocds-lcuori-6972/3-contract,6972,18879,Unidad,12.075,HNL,PEGAMENTO EN BARRA DE 20 A 39 GRAMOS ALTA CALIDAD (ZONA 1),500.0,44121634,UNSPSC,Rollos dispensadores de pegamento
ocds-lcuori-6972,ocds-lcuori-6972/3-contract,6972,18880,Paquete,12.6,HNL,LAPIZ PARA DIBUJO HB CON GOMA DE BORRAR INCORPORADA PAQUETE DE 12 UNIDADES ALTA CALIDAD (ZONA 1) PRODUCTO EXENTO,833.0,44121706,UNSPSC,L?pices grafito normal
