ocid,id,contracts/0/id,contracts/0/awardID,contracts/0/title,contracts/0/localProcurementCategory,contracts/0/status,contracts/0/period/startDate,contracts/0/description,contracts/0/statusDetails,contracts/0/value/amount,contracts/0/value/currency,contracts/0/buyer/id,contracts/0/buyer/name
ocds-lcuori-6252,ocds-lcuori-6252/3-contract,6252,6252,70-1-5-0039-2015,goodsOrServices,pending,2015-07-31T18:41:36-06:00,COMPRA DE UTILES Y MATERIALES DE OFICINA PARA SUPLIR REQUERIMIENTOS DE LAS OFICINAS DE ESTA SECRETARIA DE ESTADO,Impreso,1627.71,HNL,Dzn3Py-byP1K8-by4Gzd,GERENCIA ADMINISTRATIVA
ocds-lcuori-6972,ocds-lcuori-6972/3-contract,6972,6972,601-1-1-0018-2015,goodsOrServices,cancelled,2015-09-09T10:31:45-06:00,segun memorando 2690 2015 SGDSMYC de fecha 24 de agosto 2015 la subgerente de suministros materiales y compras olga marina check giro instrucciones para elaboracion de orden de compra por la adquisicion de materiales y utiles de oficina para 6 meses de consumo por la modalidad de catalogo electronico y por la cantidad de lps quinientos cuarenta y un mil doscientos cincuenta y cuatro lempiras exactos lps 541 254 00 autorizacion de gerentel administrativo y financiero se?or mario lopez segun memorando 2746 GAyF de fecha 12 de agosto 2015 segun el lsitado de materiales y utiles de oficina que se adjunto al memorando 2663 2015 SGDSMYC elaborado el se?or cecilio oviedo coordinador de programacion el se?or jose lorenzo coto subgerente de presupuesto informo mediante memorando 1042 SGP la disponibilidad presupuestaria por un valor de quinientos cuarenta y un mil doscientos cincuenta y cuatro lempiras exactos 541 254 00  el dia 08 de agosto mediante correo electronico la se?ora olga marina check comunico se elaboraran las ordenes de compra con impuesto    asimismo se selecciono los productos de todas las opciones segun lo indicado por el se?or cecilio oviedo verbalmente,Anulado,181001.55000000002,HNL,byPdJy-byP1K8-byP1K8,GERENCIA ADMINISTRATIVA Y FINANCIERA
ocds-lcuori-7050,ocds-lcuori-7050/3-contract,7050,7050,60-39-38-0001-2015,goodsOrServices,pending,2015-09-11T13:41:19-06:00,valor que corresponde al pago de la orden de compra sesenta y cinco y demas documentos adjuntos por la compra de producto de papel y carton que seran utilizados en los diferentes establecimientos de salud de intibuca,Impreso,9352.25,HNL,lzlBXK-VzaYzq-aygBzq,DIRECCION DEPARTAMENTAL DE INTIBUCA
ocds-lcuori-6253,ocds-lcuori-6253/3-contract,6253,6253,503-1-2-0004-2015,goodsOrServices,cancelled,2015-08-03T08:27:48-06:00,compra de utiles de oficina,Anulado,11385.0,HNL,wrL8Jr-byP1K8-NzBWyw,DIVISION ADMINISTRATIVA
ocds-lcuori-6973,ocds-lcuori-6973/3-contract,6973,6973,1801-1-2-0005-2015,goodsOrServices,pending,2015-09-09T10:36:59-06:00,Compra de material para oficina,Impreso,55909.205,HNL,byPqXK-byP1K8-NzBWyw,UNIDAD EJECUTORA CENTRAL DE AMDC
ocds-lcuori-7051,ocds-lcuori-7051/3-contract,7051,7051,60-39-38-0002-2015,goodsOrServices,pending,2015-09-11T14:56:21-06:00,valor que corresponde al pago de la orden de compra y demas documentos adjuntos por la compra de papel de escritorio que seran utilizados en los diferentes establecimientos de salud de la regional de intibuca,Impreso,17375.0,HNL,lzlBXK-VzaYzq-aygBzq,DIRECCION DEPARTAMENTAL DE INTIBUCA
ocds-lcuori-7008,ocds-lcuori-7008/3-contract,7008,7008,801-1-1-0046-2015,goodsOrServices,pending,2015-09-10T10:45:35-06:00,COMPRA DE MATERIALES DE OFICINA SEGUN REQUISICION No 2015 941 0009 DE LA UNIDAD DE GESTION Y NEGOCIACION DE LA DEUDA CS DE FECHA 17 DE FEBRERO DE 2015,Impreso,2781.045,HNL,byPB2r-byP1K8-byP1K8,GERENCIA GENERAL
ocds-lcuori-7052,ocds-lcuori-7052/3-contract,7052,7052,90-1-15-0003-2015,goodsOrServices,cancelled,2015-09-12T10:46:00-06:00,Papeleria e insumos de oficina para ser utilizados en el proceso de captacion y seleccion de los aspirantes a cadetes,Anulado,6662.1,HNL,NzBWWy-byP1K8-JyjxrP,PAGADURIA FUERZA AEREA HONDURE?A
ocds-lcuori-7046,ocds-lcuori-7046/3-contract,7046,7046,902-1-5-0016-2015,goodsOrServices,pending,2015-09-11T10:27:51-06:00,COMPRA DE UTILES DE OFICINA,Impreso,4217.087500000001,HNL,NzBo0y-byP1K8-by4Gzd,SUBGERENCIA AREA ADMINISTRATIVA
ocds-lcuori-7053,ocds-lcuori-7053/3-contract,7053,7053,71-1-1-0026-2015,goodsOrServices,pending,2015-09-14T08:35:43-06:00,Para suministrar a las oficinas de la DIECP ,Impreso,7579.42,HNL,5y28Zr-byP1K8-byP1K8,DIRECCION Y COORDINACION SUPERIOR
