ocid,id,tender/id,tender/participationFees/0/id,tender/participationFees/0/type,tender/participationFees/0/value/amount
ocds-lcuori-7rBxpG-LPública No.21-2019-2,ocds-lcuori-7rBxpG-LPública No.21-2019-2/6,7rBxpG-LPública No.21-2019-2,7rBxpG-LPública No.21-2019-2,document,200.0
ocds-lcuori-wrVn3r-15-025-2019-2,ocds-lcuori-wrVn3r-15-025-2019-2/4,wrVn3r-15-025-2019-2,wrVn3r-15-025-2019-2,document,528944.8
ocds-lcuori-7GXmzR-LP-003-2019 CCIVS -2,ocds-lcuori-7GXmzR-LP-003-2019 CCIVS -2/9,7GXmzR-LP-003-2019 CCIVS -2,7GXmzR-LP-003-2019 CCIVS -2,document,1000.0
ocds-lcuori-7rBxpG-LPublica-No.26-2019-2,ocds-lcuori-7rBxpG-LPublica-No.26-2019-2/4,7rBxpG-LPublica-No.26-2019-2,7rBxpG-LPublica-No.26-2019-2,document,200.0
ocds-lcuori-7rBxpG-LPública No.24-2019-2,ocds-lcuori-7rBxpG-LPública No.24-2019-2/5,7rBxpG-LPública No.24-2019-2,7rBxpG-LPública No.24-2019-2,document,200.0
ocds-lcuori-4LOV1r-DICTA-SAG-LPN-001-2019-2,ocds-lcuori-4LOV1r-DICTA-SAG-LPN-001-2019-2/6,4LOV1r-DICTA-SAG-LPN-001-2019-2,4LOV1r-DICTA-SAG-LPN-001-2019-2,document,200.0
ocds-lcuori-7rBxpG-LPública No.27-2019-2,ocds-lcuori-7rBxpG-LPública No.27-2019-2/6,7rBxpG-LPública No.27-2019-2,7rBxpG-LPública No.27-2019-2,document,200.0
ocds-lcuori-WRz0xL-LPN-SAR-015-2019-2,ocds-lcuori-WRz0xL-LPN-SAR-015-2019-2/6,WRz0xL-LPN-SAR-015-2019-2,WRz0xL-LPN-SAR-015-2019-2,document,500.0
ocds-lcuori-mGE4eL-LPN-IDECOAS-FHIS-19-2019-2,ocds-lcuori-mGE4eL-LPN-IDECOAS-FHIS-19-2019-2/7,mGE4eL-LPN-IDECOAS-FHIS-19-2019-2,mGE4eL-LPN-IDECOAS-FHIS-19-2019-2,document,300.0
ocds-lcuori-mGE4eL-COT-IDECOAS-FHIS-03-2019 3er PROCESO-2,ocds-lcuori-mGE4eL-COT-IDECOAS-FHIS-03-2019 3er PROCESO-2/4,mGE4eL-COT-IDECOAS-FHIS-03-2019 3er PROCESO-2,mGE4eL-COT-IDECOAS-FHIS-03-2019 3er PROCESO-2,document,200.0
ocds-lcuori-7rBxpG-LPRI NO.05-2019-2,ocds-lcuori-7rBxpG-LPRI NO.05-2019-2/1,7rBxpG-LPRI NO.05-2019-2,7rBxpG-LPRI NO.05-2019-2,document,200.0
ocds-lcuori-1RaEMR-LP-HJMG-010-2019-2,ocds-lcuori-1RaEMR-LP-HJMG-010-2019-2/5,1RaEMR-LP-HJMG-010-2019-2,1RaEMR-LP-HJMG-010-2019-2,document,500.0
ocds-lcuori-kR05rP-LPR-019-UDEIP-INSEP-2019-2,ocds-lcuori-kR05rP-LPR-019-UDEIP-INSEP-2019-2/4,kR05rP-LPR-019-UDEIP-INSEP-2019-2,kR05rP-LPR-019-UDEIP-INSEP-2019-2,document,200.0
ocds-lcuori-1RaEMR-LP-HJMG-017-2019-2,ocds-lcuori-1RaEMR-LP-HJMG-017-2019-2/4,1RaEMR-LP-HJMG-017-2019-2,1RaEMR-LP-HJMG-017-2019-2,document,300.0
ocds-lcuori-kR05rP-LPR-020-UDEIP-INSEP-2019-2,ocds-lcuori-kR05rP-LPR-020-UDEIP-INSEP-2019-2/4,kR05rP-LPR-020-UDEIP-INSEP-2019-2,kR05rP-LPR-020-UDEIP-INSEP-2019-2,document,200.0
ocds-lcuori-ZGqEaG-LPN-AMR-006-2019-2,ocds-lcuori-ZGqEaG-LPN-AMR-006-2019-2/6,ZGqEaG-LPN-AMR-006-2019-2,ZGqEaG-LPN-AMR-006-2019-2,document,5000.0
ocds-lcuori-kR05rP-LPR-021-UDEIP-INSEP-2019-2,ocds-lcuori-kR05rP-LPR-021-UDEIP-INSEP-2019-2/4,kR05rP-LPR-021-UDEIP-INSEP-2019-2,kR05rP-LPR-021-UDEIP-INSEP-2019-2,document,200.0
ocds-lcuori-kR05rP-LPR-022-UDEIP-INSEP-2019-2,ocds-lcuori-kR05rP-LPR-022-UDEIP-INSEP-2019-2/4,kR05rP-LPR-022-UDEIP-INSEP-2019-2,kR05rP-LPR-022-UDEIP-INSEP-2019-2,document,200.0
ocds-lcuori-kR05rP-LPR-023-UDEIP-INSEP-2019-2,ocds-lcuori-kR05rP-LPR-023-UDEIP-INSEP-2019-2/4,kR05rP-LPR-023-UDEIP-INSEP-2019-2,kR05rP-LPR-023-UDEIP-INSEP-2019-2,document,200.0
ocds-lcuori-kR05rP-LPR-024-UDEIP-INSEP-2019-2,ocds-lcuori-kR05rP-LPR-024-UDEIP-INSEP-2019-2/4,kR05rP-LPR-024-UDEIP-INSEP-2019-2,kR05rP-LPR-024-UDEIP-INSEP-2019-2,document,200.0
ocds-lcuori-kR05rP-LPR-025-UDEIP-INSEP-2019-2,ocds-lcuori-kR05rP-LPR-025-UDEIP-INSEP-2019-2/5,kR05rP-LPR-025-UDEIP-INSEP-2019-2,kR05rP-LPR-025-UDEIP-INSEP-2019-2,document,200.0
ocds-lcuori-kR05rP-LPR-026-UDEIP-INSEP-2019-2,ocds-lcuori-kR05rP-LPR-026-UDEIP-INSEP-2019-2/4,kR05rP-LPR-026-UDEIP-INSEP-2019-2,kR05rP-LPR-026-UDEIP-INSEP-2019-2,document,200.0
ocds-lcuori-kR05rP-LPR-027-UDEIP-INSEP-2019-2,ocds-lcuori-kR05rP-LPR-027-UDEIP-INSEP-2019-2/6,kR05rP-LPR-027-UDEIP-INSEP-2019-2,kR05rP-LPR-027-UDEIP-INSEP-2019-2,document,200.0
ocds-lcuori-kR05rP-LPR-028-UDEIP-INSEP-2019-2,ocds-lcuori-kR05rP-LPR-028-UDEIP-INSEP-2019-2/4,kR05rP-LPR-028-UDEIP-INSEP-2019-2,kR05rP-LPR-028-UDEIP-INSEP-2019-2,document,200.0
ocds-lcuori-ZGqEaG-CD-AMR-002-2019-2,ocds-lcuori-ZGqEaG-CD-AMR-002-2019-2/5,ZGqEaG-CD-AMR-002-2019-2,ZGqEaG-CD-AMR-002-2019-2,document,2500.0
ocds-lcuori-1RaEMR-LP-HJMG-015-2019-2,ocds-lcuori-1RaEMR-LP-HJMG-015-2019-2/5,1RaEMR-LP-HJMG-015-2019-2,1RaEMR-LP-HJMG-015-2019-2,document,300.0
ocds-lcuori-2LmqDL-CPrNO-02-AMDC-42-2019-2,ocds-lcuori-2LmqDL-CPrNO-02-AMDC-42-2019-2/6,2LmqDL-CPrNO-02-AMDC-42-2019-2,2LmqDL-CPrNO-02-AMDC-42-2019-2,document,200.0
ocds-lcuori-1RaEMR-LP-014-HJMG-2019-2,ocds-lcuori-1RaEMR-LP-014-HJMG-2019-2/6,1RaEMR-LP-014-HJMG-2019-2,1RaEMR-LP-014-HJMG-2019-2,document,300.0
ocds-lcuori-ZGqEaG-LP-AMR-002-2019-2,ocds-lcuori-ZGqEaG-LP-AMR-002-2019-2/5,ZGqEaG-LP-AMR-002-2019-2,ZGqEaG-LP-AMR-002-2019-2,document,500.0
ocds-lcuori-8L47Pr-L-P 013-2019-HO-2,ocds-lcuori-8L47Pr-L-P 013-2019-HO-2/3,8L47Pr-L-P 013-2019-HO-2,8L47Pr-L-P 013-2019-HO-2,document,850.0
ocds-lcuori-PGJALo-LPN-100-007-2019-2,ocds-lcuori-PGJALo-LPN-100-007-2019-2/6,PGJALo-LPN-100-007-2019-2,PGJALo-LPN-100-007-2019-2,document,500.0
ocds-lcuori-PGJALo-LPN-100-012-2019-2,ocds-lcuori-PGJALo-LPN-100-012-2019-2/11,PGJALo-LPN-100-012-2019-2,PGJALo-LPN-100-012-2019-2,document,500.0
ocds-lcuori-4LOV1r-DICTA-SAG-LP-002-2019-2,ocds-lcuori-4LOV1r-DICTA-SAG-LP-002-2019-2/6,4LOV1r-DICTA-SAG-LP-002-2019-2,4LOV1r-DICTA-SAG-LP-002-2019-2,document,200.0
ocds-lcuori-Zr5mWr-LPN No. 01-2019-SEAPI-UNAH-2,ocds-lcuori-Zr5mWr-LPN No. 01-2019-SEAPI-UNAH-2/5,Zr5mWr-LPN No. 01-2019-SEAPI-UNAH-2,Zr5mWr-LPN No. 01-2019-SEAPI-UNAH-2,document,1000.0
ocds-lcuori-kR0Q0r-LPN-001-ENAG-2019-2,ocds-lcuori-kR0Q0r-LPN-001-ENAG-2019-2/5,kR0Q0r-LPN-001-ENAG-2019-2,kR0Q0r-LPN-001-ENAG-2019-2,document,500.0
ocds-lcuori-orvkNL-LPN No.14-2019-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.14-2019-SEAF-UNAH-2/4,orvkNL-LPN No.14-2019-SEAF-UNAH-2,orvkNL-LPN No.14-2019-SEAF-UNAH-2,document,500.0
ocds-lcuori-mrY1dr-LPN No.SEDS-024-2018-2,ocds-lcuori-mrY1dr-LPN No.SEDS-024-2018-2/4,mrY1dr-LPN No.SEDS-024-2018-2,mrY1dr-LPN No.SEDS-024-2018-2,document,300.0
ocds-lcuori-7rBxpG-LPrivada No.03-2019-2,ocds-lcuori-7rBxpG-LPrivada No.03-2019-2/6,7rBxpG-LPrivada No.03-2019-2,7rBxpG-LPrivada No.03-2019-2,document,200.0
ocds-lcuori-gLkXWG-LPUB-CCAPIH-001-2019-2,ocds-lcuori-gLkXWG-LPUB-CCAPIH-001-2019-2/2,gLkXWG-LPUB-CCAPIH-001-2019-2,gLkXWG-LPUB-CCAPIH-001-2019-2,document,673000.0
ocds-lcuori-2LmqDL-LPuNBS-04-AMDC-70-2019-2,ocds-lcuori-2LmqDL-LPuNBS-04-AMDC-70-2019-2/8,2LmqDL-LPuNBS-04-AMDC-70-2019-2,2LmqDL-LPuNBS-04-AMDC-70-2019-2,document,500.0
ocds-lcuori-gLkXWG-LPUB-CCAPIH-002-2019-2,ocds-lcuori-gLkXWG-LPUB-CCAPIH-002-2019-2/2,gLkXWG-LPUB-CCAPIH-002-2019-2,gLkXWG-LPUB-CCAPIH-002-2019-2,document,3229000.0
ocds-lcuori-gLkXWG-LPUB-CCAPIH-003-2019-2,ocds-lcuori-gLkXWG-LPUB-CCAPIH-003-2019-2/3,gLkXWG-LPUB-CCAPIH-003-2019-2,gLkXWG-LPUB-CCAPIH-003-2019-2,document,1000000.0
ocds-lcuori-2LmqDL-LPrNO-35-AMDC-80-2019-2,ocds-lcuori-2LmqDL-LPrNO-35-AMDC-80-2019-2/3,2LmqDL-LPrNO-35-AMDC-80-2019-2,2LmqDL-LPrNO-35-AMDC-80-2019-2,document,200.0
ocds-lcuori-2LmqDL-LPrNBS-03-AMDC-79-2019-2,ocds-lcuori-2LmqDL-LPrNBS-03-AMDC-79-2019-2/3,2LmqDL-LPrNBS-03-AMDC-79-2019-2,2LmqDL-LPrNBS-03-AMDC-79-2019-2,document,200.0
ocds-lcuori-gLkXWG-LPUB-012-PIHSESAL-2019-2,ocds-lcuori-gLkXWG-LPUB-012-PIHSESAL-2019-2/4,gLkXWG-LPUB-012-PIHSESAL-2019-2,gLkXWG-LPUB-012-PIHSESAL-2019-2,document,400000.0
ocds-lcuori-Zr57xG-LPN-004-2019-SDN-2,ocds-lcuori-Zr57xG-LPN-004-2019-SDN-2/6,Zr57xG-LPN-004-2019-SDN-2,Zr57xG-LPN-004-2019-SDN-2,document,500.0
ocds-lcuori-2LmqDL-LPrNO-36-AMDC-81-2019-2,ocds-lcuori-2LmqDL-LPrNO-36-AMDC-81-2019-2/3,2LmqDL-LPrNO-36-AMDC-81-2019-2,2LmqDL-LPrNO-36-AMDC-81-2019-2,document,200.0
ocds-lcuori-2LmqDL-LPrNO-37-AMDC-82-2019-2,ocds-lcuori-2LmqDL-LPrNO-37-AMDC-82-2019-2/3,2LmqDL-LPrNO-37-AMDC-82-2019-2,2LmqDL-LPrNO-37-AMDC-82-2019-2,document,200.0
ocds-lcuori-2LmqDL-LPuNBS-05-AMDC-76-2019-2,ocds-lcuori-2LmqDL-LPuNBS-05-AMDC-76-2019-2/4,2LmqDL-LPuNBS-05-AMDC-76-2019-2,2LmqDL-LPuNBS-05-AMDC-76-2019-2,document,500.0
ocds-lcuori-kG1ger-LPI-ENP-01-2019-2,ocds-lcuori-kG1ger-LPI-ENP-01-2019-2/3,kG1ger-LPI-ENP-01-2019-2,kG1ger-LPI-ENP-01-2019-2,document,500.0
ocds-lcuori-kG1ger-LPI-ENP-02-2019-2,ocds-lcuori-kG1ger-LPI-ENP-02-2019-2/3,kG1ger-LPI-ENP-02-2019-2,kG1ger-LPI-ENP-02-2019-2,document,500.0
ocds-lcuori-2LmqDL-CPrN-09-AMDC-73-2019-2,ocds-lcuori-2LmqDL-CPrN-09-AMDC-73-2019-2/3,2LmqDL-CPrN-09-AMDC-73-2019-2,2LmqDL-CPrN-09-AMDC-73-2019-2,document,250.0
ocds-lcuori-DL9YoL-LPN-04-2019-FAHM-2,ocds-lcuori-DL9YoL-LPN-04-2019-FAHM-2/3,DL9YoL-LPN-04-2019-FAHM-2,DL9YoL-LPN-04-2019-FAHM-2,document,500.0
ocds-lcuori-7GXmzR-LP-004-2019 CCIVS -2,ocds-lcuori-7GXmzR-LP-004-2019 CCIVS -2/5,7GXmzR-LP-004-2019 CCIVS -2,7GXmzR-LP-004-2019 CCIVS -2,document,1000.0
ocds-lcuori-gRNwvr-LPN 007-2019-SDN-2,ocds-lcuori-gRNwvr-LPN 007-2019-SDN-2/3,gRNwvr-LPN 007-2019-SDN-2,gRNwvr-LPN 007-2019-SDN-2,document,500.0
ocds-lcuori-gRNwvr-LPN 006-2019-SDN-2,ocds-lcuori-gRNwvr-LPN 006-2019-SDN-2/3,gRNwvr-LPN 006-2019-SDN-2,gRNwvr-LPN 006-2019-SDN-2,document,500.0
ocds-lcuori-0rwyzG-MSPS-GT-01-2019-2,ocds-lcuori-0rwyzG-MSPS-GT-01-2019-2/4,0rwyzG-MSPS-GT-01-2019-2,0rwyzG-MSPS-GT-01-2019-2,document,2500.0
ocds-lcuori-orvDGM-LPN-SANAA-DM-17-2019-2,ocds-lcuori-orvDGM-LPN-SANAA-DM-17-2019-2/3,orvDGM-LPN-SANAA-DM-17-2019-2,orvDGM-LPN-SANAA-DM-17-2019-2,document,500.0
ocds-lcuori-orvDGM-LPN-SANAA-DM-19-2019-2,ocds-lcuori-orvDGM-LPN-SANAA-DM-19-2019-2/5,orvDGM-LPN-SANAA-DM-19-2019-2,orvDGM-LPN-SANAA-DM-19-2019-2,document,500.0
ocds-lcuori-WRzj0R-LPN-003-2019-2,ocds-lcuori-WRzj0R-LPN-003-2019-2/4,WRzj0R-LPN-003-2019-2,WRzj0R-LPN-003-2019-2,document,250.0
ocds-lcuori-ERpDZR-LPN-MUNICIPALIDAD-OLANCHITO-001-2019-2,ocds-lcuori-ERpDZR-LPN-MUNICIPALIDAD-OLANCHITO-001-2019-2/2,ERpDZR-LPN-MUNICIPALIDAD-OLANCHITO-001-2019-2,ERpDZR-LPN-MUNICIPALIDAD-OLANCHITO-001-2019-2,document,2500.0
ocds-lcuori-vGZWNR-LPN-015-2019-2,ocds-lcuori-vGZWNR-LPN-015-2019-2/4,vGZWNR-LPN-015-2019-2,vGZWNR-LPN-015-2019-2,document,300.0
ocds-lcuori-mGE4eL-LPN-IDECOAS-FHIS-21-2019-2,ocds-lcuori-mGE4eL-LPN-IDECOAS-FHIS-21-2019-2/3,mGE4eL-LPN-IDECOAS-FHIS-21-2019-2,mGE4eL-LPN-IDECOAS-FHIS-21-2019-2,document,300.0
ocds-lcuori-1RaEMR-LP-018-HJMG-2019-2,ocds-lcuori-1RaEMR-LP-018-HJMG-2019-2/3,1RaEMR-LP-018-HJMG-2019-2,1RaEMR-LP-018-HJMG-2019-2,document,500.0
ocds-lcuori-orvDGM-LPN-SANAA-DM-20-2019-2,ocds-lcuori-orvDGM-LPN-SANAA-DM-20-2019-2/3,orvDGM-LPN-SANAA-DM-20-2019-2,orvDGM-LPN-SANAA-DM-20-2019-2,document,500.0
ocds-lcuori-orvDGM-LPN-SANAA-DM-21-2019-2,ocds-lcuori-orvDGM-LPN-SANAA-DM-21-2019-2/4,orvDGM-LPN-SANAA-DM-21-2019-2,orvDGM-LPN-SANAA-DM-21-2019-2,document,500.0
ocds-lcuori-WRz0xL-LPN-SAR-016-2019-2,ocds-lcuori-WRz0xL-LPN-SAR-016-2019-2/5,WRz0xL-LPN-SAR-016-2019-2,WRz0xL-LPN-SAR-016-2019-2,document,500.0
ocds-lcuori-ZGqEaG-CD-AMR-003-2019-2,ocds-lcuori-ZGqEaG-CD-AMR-003-2019-2/4,ZGqEaG-CD-AMR-003-2019-2,ZGqEaG-CD-AMR-003-2019-2,document,500.0
ocds-lcuori-mGE4eL-LPR-IDECOAS-FHIS-10-2019-2,ocds-lcuori-mGE4eL-LPR-IDECOAS-FHIS-10-2019-2/3,mGE4eL-LPR-IDECOAS-FHIS-10-2019-2,mGE4eL-LPR-IDECOAS-FHIS-10-2019-2,document,200.0
ocds-lcuori-mGE4eL-COT-IDECOAS-FHIS-08-2019-2,ocds-lcuori-mGE4eL-COT-IDECOAS-FHIS-08-2019-2/4,mGE4eL-COT-IDECOAS-FHIS-08-2019-2,mGE4eL-COT-IDECOAS-FHIS-08-2019-2,document,200.0
ocds-lcuori-7rBxpG-LPublica No.29-2019-2,ocds-lcuori-7rBxpG-LPublica No.29-2019-2/4,7rBxpG-LPublica No.29-2019-2,7rBxpG-LPublica No.29-2019-2,document,200.0
ocds-lcuori-gGyD4L-LPN 01-2019-HEU-ASSP-2,ocds-lcuori-gGyD4L-LPN 01-2019-HEU-ASSP-2/5,gGyD4L-LPN 01-2019-HEU-ASSP-2,gGyD4L-LPN 01-2019-HEU-ASSP-2,document,500.0
ocds-lcuori-WRz0xL-LPN-SAR-017-2019-2,ocds-lcuori-WRz0xL-LPN-SAR-017-2019-2/5,WRz0xL-LPN-SAR-017-2019-2,WRz0xL-LPN-SAR-017-2019-2,document,500.0
ocds-lcuori-gGyD4L-02-2019-HEU-SH-2,ocds-lcuori-gGyD4L-02-2019-HEU-SH-2/2,gGyD4L-02-2019-HEU-SH-2,gGyD4L-02-2019-HEU-SH-2,document,500.0
ocds-lcuori-orvkNL-LPN No.08-2019-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.08-2019-SEAF-UNAH-2/5,orvkNL-LPN No.08-2019-SEAF-UNAH-2,orvkNL-LPN No.08-2019-SEAF-UNAH-2,document,500.0
ocds-lcuori-vGZWNR-LPN-020-2019-2,ocds-lcuori-vGZWNR-LPN-020-2019-2/4,vGZWNR-LPN-020-2019-2,vGZWNR-LPN-020-2019-2,document,300.0
ocds-lcuori-DL9JqG-LPN-008-2019-SDN-2,ocds-lcuori-DL9JqG-LPN-008-2019-SDN-2/4,DL9JqG-LPN-008-2019-SDN-2,DL9JqG-LPN-008-2019-SDN-2,document,500.0
ocds-lcuori-7rBxpG-LPública No.32-2019-2,ocds-lcuori-7rBxpG-LPública No.32-2019-2/4,7rBxpG-LPública No.32-2019-2,7rBxpG-LPública No.32-2019-2,document,200.0
ocds-lcuori-vGZWNR-LPN-010-2019-2,ocds-lcuori-vGZWNR-LPN-010-2019-2/6,vGZWNR-LPN-010-2019-2,vGZWNR-LPN-010-2019-2,document,300.0
ocds-lcuori-2LmKVR-LPN-006-2019-INAMI-2,ocds-lcuori-2LmKVR-LPN-006-2019-INAMI-2/4,2LmKVR-LPN-006-2019-INAMI-2,2LmKVR-LPN-006-2019-INAMI-2,document,200.0
ocds-lcuori-kG1ger-LPN-ENP-08-2019-2,ocds-lcuori-kG1ger-LPN-ENP-08-2019-2/7,kG1ger-LPN-ENP-08-2019-2,kG1ger-LPN-ENP-08-2019-2,document,500.0
ocds-lcuori-orvkNL-LPN No.15-2019-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.15-2019-SEAF-UNAH-2/3,orvkNL-LPN No.15-2019-SEAF-UNAH-2,orvkNL-LPN No.15-2019-SEAF-UNAH-2,document,500.0
ocds-lcuori-orvkNL-LPN No.21-2019-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.21-2019-SEAF-UNAH-2/3,orvkNL-LPN No.21-2019-SEAF-UNAH-2,orvkNL-LPN No.21-2019-SEAF-UNAH-2,document,500.0
ocds-lcuori-0rwyzG-MSPS-GA-01-2019-2,ocds-lcuori-0rwyzG-MSPS-GA-01-2019-2/3,0rwyzG-MSPS-GA-01-2019-2,0rwyzG-MSPS-GA-01-2019-2,document,2500.0
ocds-lcuori-orveZR-LP-RDC-17-2019-2,ocds-lcuori-orveZR-LP-RDC-17-2019-2/4,orveZR-LP-RDC-17-2019-2,orveZR-LP-RDC-17-2019-2,document,500000.0
ocds-lcuori-4LOpdG-LPN. NO.-002-2019-RNP-2,ocds-lcuori-4LOpdG-LPN. NO.-002-2019-RNP-2/3,4LOpdG-LPN. NO.-002-2019-RNP-2,4LOpdG-LPN. NO.-002-2019-RNP-2,document,200.0
ocds-lcuori-4LOpdG-LPN. NO.-003-2019-RNP-2,ocds-lcuori-4LOpdG-LPN. NO.-003-2019-RNP-2/4,4LOpdG-LPN. NO.-003-2019-RNP-2,4LOpdG-LPN. NO.-003-2019-RNP-2,document,200.0
