ocid,id,contracts/0/id,contracts/0/dateSigned,contracts/0/description,contracts/0/buyer/id,contracts/0/buyer/name,contracts/0/awardID,contracts/0/title,contracts/0/value/currency,contracts/0/value/amount,contracts/0/localProcurementCategory
ocds-lcuori-gRNjoR-CM-008-HBCBH-2016-1,ocds-lcuori-gRNjoR-CM-008-HBCBH-2016-1/3,gRNjoR-CM-008-HBCBH-2016,2016-10-06T00:00:00-06:00,para cubrir toda emergencia de un conato de incendio ya sea al publico o para la etacion de bomberos ,gRNjoR-MLQ77R,"Cuerpo de Bomberos Campamento, Olancho",gRNjoR-CM-008-HBCBH-2016-1,CM-008-HBCBH-2016,HNL,7820.0,goodsOrServices
ocds-lcuori-ERpWgG-SRE-COTIZACION No.071-2016-1,ocds-lcuori-ERpWgG-SRE-COTIZACION No.071-2016-1/3,ERpWgG-OC No. 082,2016-03-31T00:00:00-06:00,EMPASTADO DE PROTOCOLO DE INSTRUMENTOS PUBLICOS,ERpWgG-Er6JrN,Sub Gerencia de Recursos Materiales y Servicios Generales,ERpWgG-SRE-COTIZACION No.071-2016-1,OC No. 082,HNL,368.0,goodsOrServices
ocds-lcuori-yRlZYL-SEP-GA-33-2016-1,ocds-lcuori-yRlZYL-SEP-GA-33-2016-1/3,yRlZYL-GA-33-16,2016-03-04T00:00:00-06:00,COMPRA DE UN CONTACTOR Y TIMER PARA EL AIRE DE PRECISION DEL DATA CENTER UBICADO EN ESTA SECRETARIA,yRlZYL-lRo2G5,Gerencia Administrativa,yRlZYL-SEP-GA-33-2016-1,GA-33-16,HNL,7308.25,goodsOrServices
ocds-lcuori-kR0Q0r-CM-ENAG-478-2016-1,ocds-lcuori-kR0Q0r-CM-ENAG-478-2016-1/3,kR0Q0r-18,2016-08-04T00:00:00-06:00,para realizar varios trabajos de imprenta,kR0Q0r-kG1y2G,Unidad Central,kR0Q0r-CM-ENAG-478-2016-1,18,HNL,159000.0,goodsOrServices
ocds-lcuori-mGEMGM-DCS-038-2016-1,ocds-lcuori-mGEMGM-DCS-038-2016-1/4,mGEMGM-083-2016,2016-04-21T00:00:00-06:00,Enmarcado de diplopa otorgado a la SEFIN,mGEMGM-NLPKrv,Unidad Central,mGEMGM-DCS-038-2016-1,083-2016,HNL,938.4,goodsOrServices
ocds-lcuori-MLQmwL-CM-050-2016-1,ocds-lcuori-MLQmwL-CM-050-2016-1/3,MLQmwL-CM-050-2016,2016-03-18T00:00:00-06:00,26120,MLQmwL-gLn5gr,Gerencia Administrativa,MLQmwL-CM-050-2016-1,CM-050-2016,HNL,12958.0,goodsOrServices
ocds-lcuori-2LmDVr-CM-001-DDELP-2016-1,ocds-lcuori-2LmDVr-CM-001-DDELP-2016-1/3,2LmDVr-CM-001-DDELP-2016,2016-03-08T00:00:00-06:00,Compra de galones e diesel para ser utilizados en la Dirección Departamental de La Paz,2LmDVr-7G3yrQ,Dirección Departamental de la Paz,2LmDVr-CM-001-DDELP-2016-1,CM-001-DDELP-2016,HNL,39999.84,goodsOrServices
ocds-lcuori-0rwYG8-SOLPED-20001584-1,ocds-lcuori-0rwYG8-SOLPED-20001584-1/4,0rwYG8-PEDIDO-4200001403,2016-12-29T00:00:00-06:00,"solicitante: Departamento de Servicios Generales DSGE-125-2016

Atendiendo a solicitud de la Seccion de Transporte y como parte del mantenimiento que debe ser dado a la flota vehicular de la empresa. Se procede a gestionar el cambio de aceite de once (11) vehiculos de los registros 321, 341, 563, 623, 656, 660, 668, 713, 736, 749 Y 782.

- Informacion Leocadio Gamez 2239-6181/84solicitante: Departamento de Servicios Generales DSGE-125-2016

Atendiendo a solicitud de la Seccion de Transporte y como parte del mantenimiento que debe ser dado a la flota vehicular de la empresa. Se procede a gestionar el cambio de aceite de once (11) vehiculos de los registros 321, 341, 563, 623, 656, 660, 668, 713, 736, 749 Y 782.

- Informacion Leocadio Gamez 2239-6181/84",0rwYG8-PLemLJ,Unidad Central,0rwYG8-SOLPED-20001584-1,PEDIDO-4200001403,HNL,17457.0,goodsOrServices
ocds-lcuori-JL7pEG-085-2016-SAG-1,ocds-lcuori-JL7pEG-085-2016-SAG-1/3,JL7pEG-085-2016-SAG,2016-04-23T00:00:00-06:00,23360 87 REPARACIONES DE AIRES ACONDICIONADOS A NIVEL NCIONAL Y REGIONL,JL7pEG-MLQALQ,Servicio Nacional de Sanidad Agropecuaria,JL7pEG-085-2016-SAG-1,085-2016-SAG,HNL,169004.0,goodsOrServices
ocds-lcuori-PR8dYR-041-2016-1,ocds-lcuori-PR8dYR-041-2016-1/3,PR8dYR-044,2016-06-14T00:00:00-06:00,mantenimiento de fotocopiadoras del Programa por 10 meses,PR8dYR-gLnqr0,Programa Presidencial con Chamba Vivís Mejor,PR8dYR-041-2016-1,044,HNL,234243.5,goodsOrServices
ocds-lcuori-NLPAVG-2016-026-FN-INAM-1,ocds-lcuori-NLPAVG-2016-026-FN-INAM-1/3,NLPAVG-2016-026-FN-INAM,2016-04-21T00:00:00-06:00,COMPRA DE ALIMENTOS Y SERVICIOS PARA EVENTO DEL 29 DE MARZO 2016,NLPAVG-ERpqPr,Unidad Central,NLPAVG-2016-026-FN-INAM-1,2016-026-FN-INAM,HNL,3197.0,goodsOrServices
ocds-lcuori-PR8dYR-043-016-1,ocds-lcuori-PR8dYR-043-016-1/3,PR8dYR-042-2016,2016-06-14T00:00:00-06:00,compra de cafetera eléctrica y microondas,PR8dYR-gLnqr0,Programa Presidencial con Chamba Vivís Mejor,PR8dYR-043-016-1,042-2016,HNL,4004.33,goodsOrServices
ocds-lcuori-WRzbRe-LPN-DGC-UCP-003-2016-2,ocds-lcuori-WRzbRe-LPN-DGC-UCP-003-2016-2/3,WRzbRe-LPN-DGC-UCP-003-2016,2016-08-12T00:00:00-06:00,"RECONSTRUCCIÓN DE LOSA DEL PUENTE SOBRE RÍO GRANDE, CON UNA LONGITUD APROXIMADA DE 90 ML
 MUNICIPIO DE JESÚS DE OTORO, DEPARTAMENTO DE INTIBUCÁ.
",WRzbRe-8L4PLY,Dirección General de Carreteras,WRzbRe-LPN-DGC-UCP-003-2016-2,LPN-DGC-UCP-003-2016,HNL,6987634.06,works
