ocid,id,awards/0/id,awards/0/documents/0/id,awards/0/documents/0/url,awards/0/documents/0/documentType,awards/0/documents/0/format,awards/0/documents/0/description,awards/0/documents/0/title,awards/0/documents/0/datePublished
ocds-lcuori-mrY67L-LP0909-2016RSGD-2,ocds-lcuori-mrY67L-LP0909-2016RSGD-2/3,mrY67L-LP0909-2016RSGD-2,73169,http://h1.honducompras.gob.hn/Docs/Lic616LP0909-2016RSGD803-ResoluciondelaAdjudicacion.tif,awardNotice,image/tiff,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-03-03T12:11:37.080000-06:00
ocds-lcuori-WRzbRe-LPN-DGC-DC-001-2016-2,ocds-lcuori-WRzbRe-LPN-DGC-DC-001-2016-2/3,WRzbRe-LPN-DGC-DC-001-2016-2,80903,http://h1.honducompras.gob.hn/Docs/Lic10LPN-DGC-DC-001-2016804-ResoluciondelaAdjudicacion.PDF,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-07-06T13:05:08.843000-06:00
ocds-lcuori-WRzbRe-LPN-DGC-UCP-003-2016-2,ocds-lcuori-WRzbRe-LPN-DGC-UCP-003-2016-2/3,WRzbRe-LPN-DGC-UCP-003-2016-2,78346,http://h1.honducompras.gob.hn/Docs/Lic10LPN-DGC-UCP-003-2016806-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-05-31T15:46:37.170000-06:00
ocds-lcuori-jRDkQG-HMCR-039-2016-2,ocds-lcuori-jRDkQG-HMCR-039-2016-2/3,jRDkQG-HMCR-039-2016-2,74629,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-039-2016803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-03-30T08:29:19.087000-06:00
ocds-lcuori-jRDkQG-HMCR-040-2016-2,ocds-lcuori-jRDkQG-HMCR-040-2016-2/3,jRDkQG-HMCR-040-2016-2,74627,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-040-2016803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-03-30T08:27:47.003000-06:00
ocds-lcuori-jRDkQG-HMCR-041-2016-2,ocds-lcuori-jRDkQG-HMCR-041-2016-2/3,jRDkQG-HMCR-041-2016-2,74625,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-041-2016803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-03-30T08:25:02.590000-06:00
ocds-lcuori-jRDkQG-HMCR-043-2016-2,ocds-lcuori-jRDkQG-HMCR-043-2016-2/3,jRDkQG-HMCR-043-2016-2,75374,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-043-2016803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-04-14T11:13:13.590000-06:00
ocds-lcuori-jRDkQG-HMCR-044-2016-2,ocds-lcuori-jRDkQG-HMCR-044-2016-2/3,jRDkQG-HMCR-044-2016-2,75369,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-044-2016803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-04-14T10:29:56.520000-06:00
ocds-lcuori-4LOxWG-60-2016-2,ocds-lcuori-4LOxWG-60-2016-2/3,4LOxWG-60-2016-2,75763,http://h1.honducompras.gob.hn/Docs/Lic8360-2016802-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-04-22T10:27:30.773000-06:00
ocds-lcuori-grxXEr-LP. 019-16-2,ocds-lcuori-grxXEr-LP. 019-16-2/3,grxXEr-LP. 019-16-2,73669,http://h1.honducompras.gob.hn/Docs/Lic97LP.%20019-16802-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-03-10T09:11:34.540000-06:00
ocds-lcuori-JLKQxR-LP.011-16-2,ocds-lcuori-JLKQxR-LP.011-16-2/3,JLKQxR-LP.011-16-2,73303,http://h1.honducompras.gob.hn/Docs/Lic79LP.011-16803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-03-04T15:30:12.263000-06:00
ocds-lcuori-JLKQxR-LP.011-16-2,ocds-lcuori-JLKQxR-LP.011-16-2/3,JLKQxR-LP.011-16-2,73304,http://h1.honducompras.gob.hn/Docs/Lic79LP.011-16803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-03-04T15:30:26.803000-06:00
ocds-lcuori-JLKQxR-LP.012-16-2,ocds-lcuori-JLKQxR-LP.012-16-2/3,JLKQxR-LP.012-16-2,73306,http://h1.honducompras.gob.hn/Docs/Lic79LP.012-16803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-03-04T15:33:35.807000-06:00
ocds-lcuori-JLKQxR-LP.014-16-2,ocds-lcuori-JLKQxR-LP.014-16-2/3,JLKQxR-LP.014-16-2,73310,http://h1.honducompras.gob.hn/Docs/Lic79LP.014-16803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-03-04T15:35:38.900000-06:00
ocds-lcuori-jRDkQG-HMCR-052-2016-2,ocds-lcuori-jRDkQG-HMCR-052-2016-2/3,jRDkQG-HMCR-052-2016-2,74816,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-052-2016803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-04-04T09:04:20.967000-06:00
ocds-lcuori-jRDkQG-HMCR-055-2016-2,ocds-lcuori-jRDkQG-HMCR-055-2016-2/3,jRDkQG-HMCR-055-2016-2,75519,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-055-2016803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-04-19T09:25:56.777000-06:00
ocds-lcuori-jRDkQG-HMCR-063-2016-2,ocds-lcuori-jRDkQG-HMCR-063-2016-2/3,jRDkQG-HMCR-063-2016-2,76040,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-063-2016803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-04-27T09:19:13.707000-06:00
ocds-lcuori-jRDkQG-HMCR-064-2016-2,ocds-lcuori-jRDkQG-HMCR-064-2016-2/3,jRDkQG-HMCR-064-2016-2,75363,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-064-2016803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-04-14T10:20:34.563000-06:00
ocds-lcuori-jRDkQG-HMCR-065-2016-2,ocds-lcuori-jRDkQG-HMCR-065-2016-2/3,jRDkQG-HMCR-065-2016-2,75517,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-065-2016803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2016-04-19T09:23:46.293000-06:00
